排名,代號,名稱,市場,股本(億),市值(億),上市年數,產業別,董事長,總經理,
505,3452,益通,櫃,77.9,66.6,11.3,光電業,溫清章,楊信華,
506,2481,強茂,市,37,66.2,15.8,半導體業,方敏清,方敏清,
507,3062,建漢,市,32.9,65.8,13.9,通信網路業,陳澤燦,吳忠和,
508,1521,大億,市,7.62,65.5,19.8,電機機械,吳俊億,李旺根,
509,6153,嘉聯益,市,32.3,65.4,9.5,電子零組件業,蔡長穎,吳永輝,
510,3704,合勤控,市,44.1,65.1,6.9,通信網路業,朱順一,朱順一(執行長),
511,8042,金山電,櫃,11.1,64.7,13.3,電子零組件業,江士勳,江慶信,
512,4164,承業醫,市,14,64.6,4.7,生技醫療業,李沛霖,陳光宇,
513,8429,金麗-KY,市,17.4,64.4,4.5,貿易百貨業,庄春龍,庄春龍,
514,8210,勤誠,市,12,64.4,5.6,電腦及週邊設備業,陳美琪,陳美琪,
515,5508,永信建,櫃,21.7,64.3,19.2,建材營造業,陳俊銘,陳俊銘,
516,2601,益航,市,63.1,64,51.7,貿易百貨業,長原彰弘,郭人豪,
517,8110,華東,市,48.3,64,9.7,半導體業,焦佑衡,于鴻祺,
518,2107,厚生,市,42.2,64,25.3,橡膠工業,徐正材,徐正己,
519,5289,宜鼎,櫃,6.64,63.8,3.6,電腦及週邊設備業,簡川勝,簡川勝,
520,2436,偉詮電,市,22.3,63.2,16.8,半導體業,林錫銘,林錫銘,
521,2614,東森,市,69.6,62.9,21.8,貿易百貨業,廖尚文,廖尚文,
522,3501,維熹,市,11.8,62.9,9.8,電子零組件業,吳瑞雄,吳瑞雄,
523,3708,上緯投控,市,9.08,62.9,0.8,化學工業,蔡朝陽,蔡朝陽,
524,2466,冠西電,市,15.6,62.5,15.8,光電業,蔡乃成,俞文山,
525,1815,富喬,櫃,43.7,62.3,11.5,電子零組件業,張元賓,張元賓,
526,6525,捷敏-KY,市,10.7,62.1,1.2,半導體業,鄭祝良,湯彥鏘,
527,4104,佳醫,市,12.8,62,9.5,生技醫療業,傅輝東,高省,
528,2433,互盛電,市,14.4,61.6,16.8,其他電子業,廖慶章,翁國華,
529,6024,群益期,櫃,16,61.5,8.2,證券業,孫天山,李文柱,
530,2397,友通,市,11.5,61.4,17.5,電腦及週邊設備業,呂衍奇,呂衍奇,
531,5288,豐祥-KY,市,6.58,61.3,2.8,電機機械,游明輝,游明輝,
532,6281,全國電,市,9.92,61.1,11.6,電子通路業,林琦敏,林政勳,
533,8917,欣泰,櫃,12.2,60.9,18.2,油電燃氣業,林振英,張怒潮,
534,1737,臺鹽,市,20,60.6,13.6,食品工業,陳啟昱,吳旭慧,
535,6184,大豐電,市,15.8,60.5,12.4,其他業,戴永輝,黃守正,
536,4968,立積,市,5.49,60.4,1.6,半導體業,馬代駿,王是琦,
537,4120,友華,櫃,8.67,60.3,13.7,生技醫療業,蔡正弘,蔡正弘,
538,3014,聯陽,市,16.1,60.1,14.7,半導體業,胡鈞陽,林弘堯,
539,1455,集盛,市,61.2,60,23.7,紡織纖維,葉守焞,蘇百煌,
540,1720,生達,市,17.9,60,21.6,生技醫療業,范進財,范滋庭,
541,1340,勝悅-KY,市,11.5,59.9,3.6,塑膠工業,莊國清,莊國清,
542,1203,味王,市,24,59.8,52.9,食品工業,陳清福,陳恭平,
543,4167,展旺,櫃,24.6,59.7,1.8,生技醫療業,漢友財務管理顧問股份有限公司代表人顧曼芹,潘世賢(暫代理),
544,4725,信昌化,市,29.2,59.6,9.8,化學工業,張安平,趙天福,
545,6261,久元,櫃,12.8,59.5,13.3,半導體業,汪秉龍,葉瑞斌,
546,3211,順達,櫃,15.2,59.4,12.7,電腦及週邊設備業,鍾聰明,許諸靜,
547,1321,大洋,市,22.7,59.3,18.4,塑膠工業,陳欽明,陳欽明,
548,5356,協益,櫃,12.9,59.2,19,電腦及週邊設備業,王自軍,楊宗憲,
549,1712,興農,市,37,59.1,27.6,化學工業,洪博彥,于澤人,
550,6554,中美冠科-KY,櫃,14.5,59.1,0.6,生技醫療業,余國良,Jean Pierre Wery,
551,1442,名軒,市,26.9,59,27.6,建材營造業,吳泓瑩,李木鐸,
552,3519,綠能,市,41.4,58.8,9.4,半導體業,林蔚山,林士源,
553,8427,基勝-KY,市,10.4,58.8,5.6,其他業,劉宗信,劉怡孝,
554,1608,華榮,市,63.3,58.7,29,電器電纜,吳賢明,方武男,
555,5490,同亨,櫃,9.44,58.7,16.1,電腦及週邊設備業,張永銘,張永銘,
556,3428,光燿科,櫃,9.62,58.7,5.2,光電業,郭台強,吳俊彥,
557,2729,瓦城,櫃,2.33,58.6,4.8,觀光事業,徐承義,徐承義,
558,5203,訊連,市,9.24,58.6,12.8,資訊服務業,黃肇雄,黃肇雄,
559,2701,萬企,市,41.8,58.5,52.3,觀光事業,蔡茂昌,吳雅珍,
560,9918,欣天然,市,18.1,58.4,23.2,油電燃氣業,陳何家,王天德,
561,8081,致新,市,8.62,58.3,8.5,半導體業,謝南強,吳錦川,
562,6411,晶焱,櫃,6.59,58.3,3.3,半導體業,李俊昌,姜信欽,
563,6180,橘子,櫃,15.8,58.3,15.1,資訊服務業,劉柏園,劉柏園,
564,4306,炎洲,市,45.1,58.2,9.5,塑膠工業,李志賢,謝強,
565,2910,統領,市,20.9,58,20.5,貿易百貨業,蘇建義,翁華利,
566,8383,千附,櫃,11.8,57.6,12.8,其他電子業,張瓊如,賴志明,
567,6191,精成科,市,52.4,57.3,9.7,電子零組件業,焦佑衡,江清秋,
568,5245,智晶,櫃,4.73,57.3,2.1,光電業,王鴻鈞,陳建勳,
569,2406,國碩,市,33.9,57.1,17.2,光電業,陳繼明,陳繼明,
570,5471,松翰,市,16.8,56.9,13.9,半導體業,陳賢哲,鮑世嘉,
571,2368,金像電,市,55.2,56.9,19.3,電子零組件業,楊長基,林清培,
572,3060,銘異,市,17.4,56.8,14.2,電腦及週邊設備業,謝錦興,謝錦興,
573,2617,台航,市,41.7,56.8,19,航運業,劉文慶,梅家禮,
574,1416,廣豐,市,20.6,56.6,41.2,紡織纖維,邱文達,賀錫敬,
575,4107,邦特,櫃,6.93,56.6,15.3,生技醫療業,蔡宗禮,李明忠,
576,8437,大地-KY,櫃,3.27,56.5,2.2,其他業,程釱坤,程釱坤,
577,2367,燿華,市,54,56.4,19.6,電子零組件業,張元銘,許正弘,
578,3033,威健,市,32.3,56.4,14.9,電子通路業,胡秋江,胡秋江,
579,2369,菱生,市,38,56.3,19.2,半導體業,葉樹泉,楊順卿,
580,8215,明基材,市,32.1,56.1,6.7,光電業,陳建志,陳建志,
581,1701,中化,市,29.8,56,55.4,生技醫療業,王勳聖,王勳聖,
582,4977,眾達-KY,市,5.57,56,3.6,通信網路業,陳靖仁,莊敏男,
583,1219,福壽,市,31.9,55.8,26.6,食品工業,洪堯昆,洪堯昆,
584,3068,美磊,櫃,8.5,55.6,9.2,通信網路業,蔡茂禎,許正源,
585,4119,旭富,市,7.95,55.6,13.5,生技醫療業,翁維駿,翁維駿,
586,1708,東鹼,市,19.2,55.5,31.1,化學工業,陳榮元,傅春生,
