排名,代號,名稱,市場,股價日期,當日走勢,成交,漲跌價,漲跌幅,成交張數,面值(元),股本(億),市值(億),成立年數,上市年數,產業別,董事長,總經理
205,6271,同欣電,市,07/06,    ,125,-1.5,-1.19%,771,10,16.5,207,42.9,9.6,半導體業,楊惠捷,呂紹萍
206,9940,信義,市,07/06,    ,32.25,-0.15,-0.46%,137,10,63.2,204,30.5,15.8,其他業,周俊吉,劉元智
207,1507,永大,市,07/06,    ,49.6,0.5,+1.02%,220,10,41.1,204,51,27.7,電機機械,許作立,蔡鋒杰
208,5534,長虹,市,07/06,    ,69.8,-0.6,-0.85%,527,10,29,203,41.6,13.1,建材營造業,李文造,李耀中
209,2820,華票,市,07/06,    ,15.05,0,0%,2189,10,134,202,38.6,22.7,銀行業,吳正慶,簡志明
210,2548,華固,市,07/06,    ,72.3,-0.1,-0.14%,1362,10,27.7,200,28.3,14.9,建材營造業,鍾榮昌,洪嘉昇
211,1312,國喬,市,07/06,    ,21.5,0,0%,2826,10,92.7,199,43.8,28.5,塑膠工業,吳春臺,楊品正
212,2511,太子,市,07/06,    ,12.2,-0.1,-0.81%,893,10,162,198,43.8,26.2,建材營造業,鄭高輝,謝明汎
213,1215,卜蜂,市,07/06,    ,73.8,0.2,+0.27%,1088,10,26.8,198,39.9,29.9,食品工業,鄭武樾,許瑞通
214,8422,可寧衛,市,07/06,    ,181,0,0%,191,10,10.9,197,18.2,5.8,其他業,楊慶祥,陶正倫
215,2373,震旦行,市,07/06,    ,58,-0.2,-0.34%,111,10,33.7,196,54,25.9,其他電子業,林樂萍,無
216,5388,中磊,市,07/06,    ,80.4,-1,-1.23%,1227,10,24.3,195,24.9,9.6,通信網路業,王伯元,王煒
217,2104,中橡,市,07/06,    ,32.45,0.05,+0.15%,663,10,59.9,194,44.1,31,橡膠工業,張安平,黃柏松
218,1702,南僑,市,07/06,    ,66,-0.9,-1.35%,1725,10,29.4,194,65.3,44.1,食品工業,陳飛龍,李勘文
219,2206,三陽工業,市,07/06,    ,21.7,0.05,+0.23%,1589,10,88,191,55.8,20.9,汽車工業,吳清源,吳清源
220,2855,統一證,市,07/06,    ,14.2,-0.1,-0.7%,869,10,134,190,28.6,14.8,證券業,林忠生,林寬成
221,5269,祥碩,市,07/06,    ,330,6,+1.85%,555,10,5.71,188,13.3,4.6,半導體業,沈振來,林哲偉
222,2458,義隆,市,07/06,    ,43,0.1,+0.23%,1357,10,43.4,187,23.2,15.8,半導體業,葉儀皓,葉儀皓
223,2362,藍天,市,07/06,    ,27.2,0.05,+0.18%,109,10,68.3,186,33.8,20.3,電腦及週邊設備業,許崑泰,蔡明賢
224,8341,日友,市,07/06,    ,164,-4.5,-2.67%,1064,10,11.2,183,22.6,2.3,其他業,張芳正,張芳正
225,5371,中光電,櫃,07/06,    ,41.95,0.15,+0.36%,3248,10,43.4,182,25,18.5,光電業,張威儀,林惠姿 陳士元
226,5306,桂盟,櫃,07/06,    ,148,0,0%,96,10,12,178,28.2,21.5,其他業,吳盈進,吳瑞章
227,2608,大榮,市,07/06,    ,38,0.1,+0.26%,130,10,46.7,177,57.1,26.5,航運業,沈宗桂,營運總處：張國典; 財務暨行政總處：阮慧雯
228,3376,新日興,市,07/06,    ,99.2,0.2,+0.2%,908,10,17.9,177,49,9.5,電子零組件業,呂勝男,林清正
229,9939,宏全,市,07/06,    ,60.3,0.4,+0.67%,743,10,29.3,177,48,16.3,其他業,戴宏全,曹世忠
230,1304,台聚,市,07/06,    ,15.4,-0.1,-0.65%,901,10,114,176,52.1,45.1,塑膠工業,吳亦圭,張繼中
231,4438,廣越,市,07/06,    ,169.5,-1.5,-0.88%,90,10,10.4,176,21.7,0.7,紡織纖維,楊文賢,吳朝筆
232,2637,慧洋-KY,市,07/06,    ,31.35,-0.2,-0.63%,531,10,55.7,175,8.7,6.6,航運業,藍俊昇,鄭俊聲
233,2239,英利-KY,市,07/06,    ,158.5,0,0%,40,10,11,174,2.5,1.4,汽車工業,林啟彬,林啟彬
234,2489,瑞軒,市,07/06,    ,20.85,-0.05,-0.24%,971,10,83.4,174,22.9,15.8,光電業,吳春發,吳春發
235,6214,精誠,市,07/06,    ,64.2,0.2,+0.31%,353,10,26.9,173,20.5,6.5,資訊服務業,黃宗仁,林隆奮
236,3260,威剛,櫃,07/06,    ,74.8,1,+1.36%,9465,10,23,172,16.2,12.7,半導體業,陳立白,陳玲娟
237,4123,晟德,櫃,07/06,    ,58.9,-0.2,-0.34%,288,10,29.2,172,57.7,13.7,生技醫療業,林榮錦,許瑞寶
238,6279,胡連,櫃,07/06,    ,176,-1,-0.56%,236,10,9.72,171,40,13.6,電子零組件業,張子雄,胡盛清
239,3443,創意,市,07/06,    ,126.5,2.5,+2.02%,2492,10,13.4,170,19.5,10.7,半導體業,曾繁城,陳超乾
240,4532,瑞智,市,07/06,    ,34.65,0,0%,731,10,48.8,169,27.5,13.9,電機機械,陳盛沺,馮明法
241,1907,永豐餘,市,07/06,    ,10,-0.15,-1.48%,813,10,166,166,67.4,40.4,造紙工業,何奕達,何奕達
242,3691,碩禾,櫃,07/06,    ,271.5,-3,-1.09%,540,10,6.1,166,14,6.6,光電業,陳繼明,黃文瑞
243,2404,漢唐,市,07/06,    ,69.5,-0.3,-0.43%,1562,10,23.8,166,34.8,17.3,其他電子業,陳朝水,陳柏辰
244,1904,正隆,市,07/06,    ,14.9,-0.1,-0.67%,2435,10,111,165,58.4,45.8,造紙工業,鄭舒云,蔡東和
245,4943,康控-KY,市,07/06,    ,162,14.5,+9.83%,4615,10,10.2,165,7.8,0.7,電子零組件業,呂朝勝,李國基
246,2035,唐榮,櫃,07/06,    ,46.7,0,0%,0,10,35,163,62.2,11,鋼鐵工業,趙健在,梁進民
247,3023,信邦,市,07/06,    ,72.1,0.7,+0.98%,531,10,22.5,163,27.6,14.9,電子零組件業,王紹新,梁偉銘
248,2312,金寶,市,07/06,    ,11.15,0,0%,1557,10,146,162,44.2,27.7,其他電子業,許勝雄,沈軾榮
249,8046,南電,市,07/06,    ,25.1,-0.1,-0.4%,390,10,64.6,162,19.7,11.2,電子零組件業,吳嘉昭,湯安得
250,1262,綠悅-KY,市,07/06,    ,109,-1,-0.91%,482,10,14.8,162,4.5,3.5,其他業,王哲夫,顏藝林
251,1313,聯成,市,07/06,    ,13.8,0.15,+1.1%,1178,10,117,162,40.9,28.3,塑膠工業,苗豐強,柯衣紹
252,1104,環泥,市,07/06,    ,25,-0.2,-0.79%,285,10,63.5,159,57.3,46.4,水泥工業,侯博義,侯博義
253,4414,如興,市,07/06,    ,18.55,-0.05,-0.27%,1113,10,85.2,158,39.6,12.8,紡織纖維,陳仕修,陳仕修
254,3552,同致,櫃,07/06,    ,186,-1.5,-0.8%,708,10,8.49,158,37.6,8.5,其他電子業,陳信忠,陳信忠
255,2905,三商,市,07/06,    ,22.05,0.05,+0.23%,143,10,71.5,158,52.4,28.8,貿易百貨業,陳翔立,陳翔立
256,5434,崇越,市,07/06,    ,91.8,-0.4,-0.43%,174,10,16.6,152,27.4,13.9,電子通路業,賴杉桂,曾海華及李正榮
257,3022,威強電,市,07/06,    ,46.35,0.1,+0.22%,249,10,32.8,152,20.2,14.9,電腦及週邊設備業,張明智,江重良
258,3450,聯鈞,市,07/06,    ,137.5,-0.5,-0.36%,710,10,11,152,16.8,11.2,其他電子業,鄭祝良,黃文興
259,9925,新保,市,07/06,    ,39.55,0,0%,169,10,38.4,152,37.5,21.6,其他業,林伯峰,洪國超
260,2607,榮運,市,07/06,    ,14,-0.1,-0.71%,376,10,107,149,43.8,26.6,航運業,洪秉琨,魏茂俊
261,2014,中鴻,市,07/06,    ,10.4,-0.2,-1.89%,9525,10,144,149,33.8,25.4,鋼鐵工業,邱順得,黃華銘
262,3576,新日光,市,07/06,    ,14.65,0.3,+2.09%,4913,10,102,149,11.9,8.5,光電業,洪傳獻,沈維鈞
263,3019,亞光,市,07/06,    ,53,0.8,+1.53%,6456,10,28.1,149,36.7,14.9,光電業,賴以仁,林泰朗
264,6464,台數科,市,07/06,    ,120,0,0%,4,10,12.4,149,10.9,1.6,其他業,簡森垣,廖紫岑
265,5007,三星,市,07/06,    ,50.1,-0.2,-0.4%,119,10,29.5,148,52,5.8,鋼鐵工業,柯吉源,林文傑
266,1232,大統益,市,07/06,    ,92.3,-0.4,-0.43%,71,10,16,148,35.1,21.4,食品工業,羅智先,陳昭良
267,1409,新纖,市,07/06,    ,9.12,-0.07,-0.76%,467,10,162,148,50.2,43.8,紡織纖維,吳東昇,羅時銓
268,2450,神腦,市,07/06,    ,56.8,0.1,+0.18%,108,10,25.8,147,38.1,16.1,通信網路業,賴勁麟,林保雍
269,2727,王品,市,07/06,    ,190.5,7.5,+4.1%,716,10,7.7,147,23.6,5.3,觀光事業,陳正輝,楊秀慧
270,2027,大成鋼,市,07/06,    ,17.55,0,0%,200,10,83.1,146,30.6,20.7,鋼鐵工業,謝麗雲,謝榮坤
271,1307,三芳,市,07/06,    ,36.55,-0.3,-0.81%,169,10,39.8,145,44.1,31.6,塑膠工業,林孟經,蔡光爵
272,6206,飛捷,市,07/06,    ,98.4,-0.2,-0.2%,65,10,14.6,144,32.9,12.9,電腦及週邊設備業,林大成,劉久超
273,6274,台燿,櫃,07/06,    ,59.5,3,+5.31%,7188,10,24.2,144,43.1,13.6,電子零組件業,辛忠道,陳加南
274,6146,耕興,櫃,07/06,    ,158.5,-2.5,-1.55%,162,10,9.04,143,20.2,15.5,其他電子業,黃文亮,黃文亮
275,6462,神盾,櫃,07/06,    ,204,-2,-0.97%,1551,10,6.97,142,9.5,1.5,半導體業,羅森洲,羅森洲
276,2328,廣宇,市,07/06,    ,27.2,-0.2,-0.73%,1700,10,51.8,141,46.1,23.7,電子零組件業,盧松發,盧松發
277,3042,晶技,市,07/06,    ,44.75,0.05,+0.11%,867,10,31,139,33.5,14.9,電子零組件業,林進寶,林萬興
278,1305,華夏,市,07/06,    ,29,-0.25,-0.85%,1061,10,47.8,139,53.2,44.3,塑膠工業,吳亦圭,林漢福
279,2545,皇翔,市,07/06,    ,42.25,-0.35,-0.82%,296,10,32.8,138,25.6,16.8,建材營造業,廖年吉,廖宇祥
280,8926,台汽電,市,07/06,    ,23.5,0,0%,313,10,58.9,138,25.2,13.9,油電燃氣業,張明杰,余廣勛
281,6605,帝寶,市,07/06,    ,82.5,1.8,+2.23%,191,10,16.6,137,37.2,13.3,電機機械,謝氣,賴瑞華
282,1234,黑松,市,07/06,    ,33.9,0,0%,160,10,40.2,136,47.6,18.3,食品工業,張斌堂,張斌堂
283,6166,凌華,市,07/06,    ,62.3,1.8,+2.98%,183,10,21.8,136,21.9,12.7,電腦及週邊設備業,劉鈞,楊正義
284,9951,皇田,櫃,07/06,    ,180,0.5,+0.28%,61,10,7.49,135,34,13.6,電機機械,周幼珊,周幼珊
285,1795,美時,櫃,07/06,    ,56.2,0.5,+0.9%,447,10,23.8,134,51,7.4,生技醫療業,林群,王憲政
286,1726,永記,市,07/06,    ,82.6,-0.1,-0.12%,24,10,16.2,134,60.1,16.8,化學工業,張德仁,陳弘偉
287,3374,精材,櫃,07/06,    ,48.75,0.6,+1.25%,3165,10,27.2,133,18.8,2.3,半導體業,陳家湘,陳家湘
288,3264,欣銓,櫃,07/06,    ,27.25,0.3,+1.11%,1169,10,48.6,132,17.7,12.5,半導體業,盧志遠,張季明
289,2856,元富證,市,07/06,    ,8.25,-0.01,-0.12%,799,10,160,132,28.3,14.8,證券業,陳俊宏,李明輝
290,9908,大台北,市,07/06,    ,25.5,0,0%,38,10,51.6,132,52.7,26.4,油電燃氣業,謝榮富,陳振東
291,2504,國產,市,07/06,    ,9.21,0,0%,742,10,143,132,62.6,39.3,建材營造業,林孝信,徐蘭英
292,1537,廣隆,市,07/06,    ,160.5,0.5,+0.31%,212,10,8.18,131,27.4,15.5,電機機械,李耀銘,李瑞勳
293,2913,農林,市,07/06,    ,16.7,0.1,+0.6%,1974,10,77,129,67.1,55.4,貿易百貨業,林金燕,林金燕
294,8436,大江,櫃,07/06,    ,169,-4,-2.31%,3009,10,7.57,128,36.9,3.8,生技醫療業,林詠翔,林詠翔
295,8131,福懋科,市,07/06,    ,28.55,0.05,+0.18%,435,10,44.2,126,26.8,9.6,半導體業,王文淵,謝式銘
296,8404,百和興業-KY,市,07/06,    ,51.3,1.6,+3.22%,2955,10,24.6,126,10.7,6.1,其他業,鄭國火因,鄭國火因
297,3533,嘉澤,市,07/06,    ,134.5,-0.5,-0.37%,659,10,9.35,126,30.9,9.6,電子零組件業,朱德祥,何德佑
298,6202,盛群,市,07/06,    ,55.4,-0.3,-0.54%,499,10,22.6,125,18.8,12.8,半導體業,吳啟勇,高國棟
299,9930,中聯資源,市,07/06,    ,55.4,-0.2,-0.36%,167,10,22.6,125,26.1,17.6,其他業,郭新進,蔡沛宏
300,2547,日勝生,市,07/06,    ,13.95,-0.15,-1.06%,631,10,89.4,125,37.3,16.5,建材營造業,林榮顯,沈景鵬
301,2605,新興,市,07/06,    ,21.75,-0.3,-1.36%,1210,10,56.8,124,49.4,27.6,航運業,蔡景本,許積皋
302,9937,全國,市,07/06,    ,39.95,0.4,+1.01%,77,10,30.9,123,28.9,16.8,油電燃氣業,賴正時,蔡佳璋
303,4551,智伸科,市,07/06,    ,150.5,2,+1.35%,462,10,8.19,123,30.4,1.9,電機機械,林恩道,林恩道
304,1419,新紡,市,07/06,    ,41,0,0%,29,10,30,123,62.1,40.3,紡織纖維,吳昕恩,邱錦發
305,6213,聯茂,市,07/06,    ,40.55,0.05,+0.12%,1186,10,30.3,123,20.2,9.5,電子零組件業,蔡茂禎,蔡馨(日彗)
306,6244,茂迪,櫃,07/06,    ,24.95,-0.1,-0.4%,1851,10,49,122,36.1,14.1,光電業,張秉衡,張秉衡
307,9802,鈺齊-KY,市,07/06,    ,85,0.5,+0.59%,1699,10,14.3,122,7.6,4.7,其他業,林文智,廖芳祝
308,6282,康舒,市,07/06,    ,23.45,0.15,+0.64%,922,10,51.8,122,35.9,13.8,電子零組件業,許勝雄,高青山
309,3413,京鼎,市,07/06,    ,161.5,0.5,+0.31%,1097,10,7.5,121,16.2,1.9,半導體業,劉應光,劉應光
310,1527,鑽全,市,07/06,    ,87.6,0.5,+0.57%,145,10,13.8,121,34,17,電機機械,賴明達先生,賴明興先生
311,8114,振樺電,市,07/06,    ,165,-1.5,-0.9%,260,10,7.29,120,32.9,4.6,電腦及週邊設備業,陳茂松,陳茂強
312,1718,中纖,市,07/06,    ,8.37,0,0%,2865,10,143,120,62.2,53.6,化學工業,王貴賢,王貴鋒
313,8444,綠河-KY,櫃,07/06,    ,161.5,-0.5,-0.31%,37,10,7.4,120,6.5,1.7,其他業,謝榮輝,黃登士
314,1808,潤隆,市,07/06,    ,49.05,-0.3,-0.61%,337,10,24.3,119,40.5,22.7,建材營造業,蔡聰賓,蔡聰賓
315,2029,盛餘,市,07/06,    ,37.1,-0.55,-1.46%,766,10,32.1,119,44.1,20.5,鋼鐵工業,大森真,程贊育
316,6548,長華科,櫃,07/06,    ,395,2,+0.51%,45,10,3.01,119,7.5,0.8,光電業,黃嘉能,洪全成
317,4947,昂寶-KY,櫃,07/06,    ,216,9,+4.35%,1295,10,5.49,119,8.6,5.7,半導體業,李朝福,陳志樑
318,8112,至上,市,07/06,    ,33.3,0.2,+0.6%,11359,10,35.6,119,30.3,9.5,電子通路業,葛均,葛均
319,6803,崑鼎,櫃,07/06,    ,177,0,0%,22,10,6.66,118,17.6,7.1,其他業,廖俊吉吉,施雲鵬
320,1532,勤美,市,07/06,    ,30.5,-0.2,-0.65%,327,10,38.5,118,44.8,1,電機機械,林廷芳,金奉天
321,3380,明泰,市,07/06,    ,27,0.5,+1.89%,2425,10,43.4,117,13.8,12.5,通信網路業,李中旺,林裕欽
322,1225,福懋油,市,07/06,    ,53.3,-0.1,-0.19%,38,10,21.9,117,31.2,23.8,食品工業,茂生農經股份有限公司(代表人：許忠明),許逸群
323,3010,華立,市,07/06,    ,50.3,-0.2,-0.4%,50,10,23.1,116,48.8,15,電子通路業,張瑞欽,張尊賢
324,1736,喬山,市,07/06,    ,38.2,-0.15,-0.39%,158,10,30.4,116,41.7,14.5,生技醫療業,羅崑泉,羅光廷
325,2534,宏盛,市,07/06,    ,19.7,-0.15,-0.76%,1233,10,58.9,116,31,21.4,建材營造業,林新欽,黃彤焱
326,3705,永信,市,07/06,    ,43.45,-0.2,-0.46%,69,10,26.6,116,6.5,6.5,生技醫療業,李芳全,尹國魂
327,2908,特力,市,07/06,    ,22.7,-0.15,-0.66%,863,10,51,116,38.9,24.4,貿易百貨業,李麗秋,童至祥
328,2475,華映,市,07/06,    ,1.78,0.1,+5.95%,21885,10,648,115,46.2,15.8,光電業,林蔚山,林盛昌
329,6188,廣明,櫃,07/06,    ,41.4,-0.05,-0.12%,1404,10,27.8,115,18.4,14.9,電腦及週邊設備業,林百里,何世池
330,5287,數字,櫃,07/06,    ,270.5,0,0%,205,10,4.26,115,10.5,3.5,資訊服務業,廖世芳,吳聰賢
331,8016,矽創,市,07/06,    ,95.3,0.7,+0.74%,2252,10,12.1,115,25,13.5,半導體業,毛穎文,王崴
332,6230,超眾,市,07/06,    ,133,2,+1.53%,1166,10,8.63,115,43.6,6.8,電腦及週邊設備業,吳適玲,郭大祺
333,6451,訊芯-KY,市,07/06,    ,108.5,-0.5,-0.46%,918,10,10.5,114,9.5,2.4,半導體業,徐文一,徐文一
334,4552,力達-KY,市,07/06,    ,113,0,0%,202,10,10,113,5.2,1,電機機械,吳建能,陳乙平
335,1905,華紙,市,07/06,    ,10.2,0.05,+0.49%,1160,10,110,112,49,42.4,造紙工業,黃鯤雄,黃志成
336,2351,順德,市,07/06,    ,61.6,-1.9,-2.99%,2293,10,18.2,112,49.7,21.2,半導體業,陳朝雄,陳朝雄
337,2331,精英,市,07/06,    ,20.1,-0.1,-0.5%,765,10,55.7,112,30.2,22.8,電腦及週邊設備業,林郭文艷,楊龍光
338,8942,森鉅,櫃,07/06,    ,67.3,0.5,+0.75%,164,10,16.6,112,22.8,14.1,其他業,鄭憲得,鄭憲松
339,3293,鈊象,櫃,07/06,    ,159,-1,-0.62%,965,10,7,111,27.7,11,資訊服務業,李柯柱,江順成
340,1582,信錦,市,07/06,    ,70.1,0.2,+0.29%,443,10,15.9,111,38,7.6,電子零組件業,陳秋郎,邱柏森
341,8415,大國鋼,櫃,07/06,    ,18.05,0,0%,37,10,61.2,110,10,0.8,鋼鐵工業,謝麗雲,謝榮坤
342,4401,東隆興,櫃,07/06,    ,91.6,-2.5,-2.66%,263,10,12,110,55.9,21.2,紡織纖維,游秀雄,游志成
343,1310,台苯,市,07/06,    ,20.75,0.05,+0.24%,3577,10,52.8,110,37.6,29.9,塑膠工業,吳怡青,吳清典
344,8076,伍豐,櫃,07/06,    ,44.2,-0.2,-0.45%,479,10,24.7,109,22.5,13.6,電腦及週邊設備業,徐明哲,徐明哲
345,1589,永冠-KY,市,07/06,    ,92,0.2,+0.22%,216,10,11.9,109,9.5,5.2,電機機械,張賢銘,張賢銘
346,2428,興勤,市,07/06,    ,85.2,1.2,+1.43%,637,10,12.8,109,38,16.8,電子零組件業,陳淑愛,何益盛
347,2228,劍麟,市,07/06,    ,144,-2.5,-1.71%,201,10,7.58,109,40.2,3.6,電機機械,黃正怡,黃正忠
348,2108,南帝,市,07/06,    ,24.4,0.1,+0.41%,793,10,44.7,109,38.5,24.7,橡膠工業,楊東源,許建祝
349,2455,全新,市,07/06,    ,58.8,0.2,+0.34%,848,10,18.5,109,20.6,15.4,通信網路業,陳懋常,黃朝興
350,6504,南六,市,07/06,    ,149.5,-2.5,-1.64%,139,10,7.26,109,38.6,4.2,其他業,黃清山,黃和村
351,3545,敦泰,市,07/06,    ,36.05,-0.2,-0.55%,3763,10,29.7,107,11.5,10,半導體業,胡正大,胡正大
352,3227,原相,櫃,07/06,    ,80.3,-0.1,-0.12%,490,10,13.3,107,19,11.2,半導體業,黃森煌,黃森煌
353,5263,智崴,櫃,07/06,    ,238.5,-3.5,-1.45%,165,10,4.47,107,15.7,4.6,文化創意業,黃仲銘,歐陽志宏
354,4137,麗豐-KY,市,07/06,    ,134,-2,-1.47%,370,10,7.95,107,5,3.6,生技醫療業,陳碧華,陳碧華
355,5478,智冠,櫃,07/06,    ,83.5,0.7,+0.85%,265,10,12.7,106,34,16.3,資訊服務業,王俊博,王俊博
356,4180,安成藥,櫃,07/06,    ,84.9,-0.1,-0.12%,221,10,12.5,106,19.6,3.6,生技醫療業,陳志明,陳志明(暫代理)
357,1560,中砂,市,07/06,    ,75.2,1.5,+2.04%,989,10,14.1,106,53,12.4,電機機械,林陳滿麗,謝榮哲
358,2456,奇力新,市,07/06,    ,78.6,1.2,+1.55%,2443,10,13.4,105,44.9,15.8,電子零組件業,陳泰銘,鐘世英
359,2520,冠德,市,07/06,    ,20.25,-0.25,-1.22%,3970,10,50.4,102,37.6,23.7,建材營造業,馬玉山,洪錦欽
360,1522,堤維西,市,07/06,    ,32.6,-0.25,-0.76%,491,10,31.3,102,30.8,19.8,電機機械,吳俊佶,陳勁兆
361,4426,利勤,市,07/06,    ,89.8,-0.4,-0.44%,692,10,11.3,102,19.8,5.6,紡織纖維,洪文耀,待補
362,3006,晶豪科,市,07/06,    ,35.8,0.3,+0.85%,1236,10,28.3,101,19.1,15.3,半導體業,陳興海,張明鑒
363,6257,矽格,市,07/06,    ,28.05,0.6,+2.19%,7244,10,36,101,28.6,13.9,半導體業,黃興陽,黃興陽
364,5425,台半,櫃,07/06,    ,41.8,-0.05,-0.12%,1095,10,24.1,101,38.5,17.4,半導體業,王秀亭,王秀亭
365,2539,櫻花建,市,07/06,    ,29.2,-0.05,-0.17%,54,10,34.4,100,30.2,20,建材營造業,陳正釭,陳世英
366,2836,高雄銀,市,07/06,    ,9.99,-0.01,-0.1%,2743,10,100,100,35.5,19.1,銀行業,張雲鵬,王進安
367,8358,金居,櫃,07/06,    ,47.5,0.5,+1.06%,7284,10,21.1,100,19.1,6.8,電子零組件業,宋恭源,李思賢
368,6277,宏正,市,07/06,    ,83.7,-0.3,-0.36%,87,10,11.9,100,38,13.7,電腦及週邊設備業,陳尚仲,陳尚仲
369,2034,允強,市,07/06,    ,24.55,-0.25,-1.01%,1522,10,40.7,100,44.4,15.8,鋼鐵工業,張清課,張金鈺
370,1711,永光,市,07/06,    ,18.2,0.05,+0.28%,334,10,54.8,99.7,44.8,28.5,化學工業,陳建信,陳偉望
371,2421,建準,市,07/06,    ,39.7,0.15,+0.38%,2391,10,25.1,99.6,36.7,16.8,電子零組件業,洪銀樹,洪慶昇
372,8349,恒耀,櫃,07/06,    ,106.5,3.5,+3.4%,640,10,9.27,98.7,32.2,11.3,鋼鐵工業,吳榮彬,吳健序
373,4128,中天,櫃,07/06,    ,23.15,-0.25,-1.07%,440,10,42.5,98.5,17.2,11.1,生技醫療業,黃山內,黃山內
374,5305,敦南,市,07/06,    ,31.7,0.5,+1.6%,644,10,31,98.4,27.2,13,半導體業,宋恭源,李朝福
375,5531,鄉林,市,07/06,    ,11.15,-0.05,-0.45%,165,10,88.2,98.4,27.1,12.4,建材營造業,賴正鎰,賴正鎰
376,2515,中工,市,07/06,    ,6.42,-0.07,-1.08%,2314,10,153,98.3,66.8,24.3,建材營造業,嚴雋泰,沈華養
377,2485,兆赫,市,07/06,    ,30.8,-0.15,-0.48%,531,10,31.8,97.8,36.3,15.8,通信網路業,黃啟瑞,林慶輝
378,2208,台船,市,07/06,    ,13.1,0.05,+0.38%,662,10,74.4,97.4,43.7,8.5,航運業,鄭文隆,陳豊霖
379,3035,智原,市,07/06,    ,39.1,0.2,+0.51%,4058,10,24.9,97.2,24.1,14.9,半導體業,洪嘉聰,王國雍
380,1201,味全,市,07/06,    ,19.1,0,0%,861,10,50.6,96.7,63.8,55.4,食品工業,陳永清,蘇守斌
381,5009,榮剛,櫃,07/06,    ,20.7,0,0%,920,10,46.7,96.6,24.3,18.7,鋼鐵工業,陳興時,張世豐
382,2340,光磊,市,07/06,    ,17.65,0.1,+0.57%,1219,10,54.7,96.5,33.5,22.2,光電業,王虹東,李榮寰
383,6238,勝麗,櫃,07/06,    ,197,6,+3.14%,633,10,4.89,96.4,26.2,14.3,其他電子業,劉福洲,辛宗憲
384,1773,勝一,市,07/06,    ,64.2,-1.1,-1.68%,291,10,15,96.3,38.5,8.4,化學工業,孫靜源,孫靜源
385,1451,年興,市,07/06,    ,24.05,0.1,+0.42%,98,10,40,96.2,30.7,24.5,紡織纖維,陳宜鋒,蔡樹軒
386,4919,新唐,市,07/06,    ,46.2,1.15,+2.55%,2681,10,20.8,95.9,9.2,6.8,半導體業,焦佑鈞,戴尚義
387,1308,亞聚,市,07/06,    ,18.9,-0.15,-0.79%,385,10,50.3,95.1,40.4,31,塑膠工業,吳亦圭,李國弘
388,4536,拓凱,市,07/06,    ,104.5,-1,-0.95%,24,10,9.08,94.9,37,3.7,其他業,沈文振,沈文振
389,2349,錸德,市,07/06,    ,5.36,-0.06,-1.11%,2659,10,177,94.7,28.5,21.2,光電業,葉垂景,葉垂景
390,3698,隆達,市,07/06,    ,18.35,0.25,+1.38%,704,10,51.2,94,9.1,5.8,光電業,蘇峰正,蘇峰正(執行長)
391,3017,奇鋐,市,07/06,    ,26.6,0.15,+0.57%,1356,10,35.3,94,25.6,14.8,電腦及週邊設備業,沈慶行,沈慶行
392,3703,欣陸,市,07/06,    ,11.4,0,0%,496,10,82.3,93.8,7.2,7.2,建材營造業,殷琪,洪義乾
393,2524,京城,市,07/06,    ,24.4,0,0%,50,10,38.4,93.7,31.8,22.7,建材營造業,蔡天贊,陳添進
394,4906,正文,市,07/06,    ,29.7,0.25,+0.85%,1161,10,30.9,91.9,29,14,通信網路業,陳鴻文,陳鴻文
395,3026,禾伸堂,市,07/06,    ,40.9,-0.2,-0.49%,306,10,22.4,91.7,36.1,14.9,電子零組件業,唐錦榮,唐錦榮
396,1338,廣華-KY,市,07/06,    ,108.5,-1,-0.91%,326,10,8.38,91,7.6,4.5,汽車工業,余澤民,黃建中
397,1709,和益,市,07/06,    ,20,0,0%,450,10,45.1,90.2,44,31,化學工業,黃勝材,廖嘉國
398,3596,智易,市,07/06,    ,47.15,0.55,+1.18%,3041,10,18.9,89.2,14.2,8.3,通信網路業,陳瑞聰,曾釗鵬
399,6492,生華科,櫃,07/06,    ,120,-1,-0.83%,100,10,7.43,89.2,4.6,0.2,生技醫療業,胡定吾,宋台生
400,4506,崇友,櫃,07/06,    ,45,0.3,+0.67%,80,10,19.7,88.5,43.1,19.6,電機機械,唐伯龍,游本立
401,6023,元大期,櫃,07/06,    ,38.1,0,0%,103,10,23.2,88.5,20.2,9.6,證券業,林添富,周筱玲
402,1525,江申,市,07/06,    ,120,-0.5,-0.41%,143,10,7.34,88.1,54.1,18.1,電機機械,簡清隆,麥少保
403,1513,中興電,市,07/06,    ,20.95,0.15,+0.72%,842,10,42,88,55.1,23.3,電機機械,江義福,郭慧娟
404,6120,達運,市,07/06,    ,13.2,0.05,+0.38%,276,10,66.6,87.9,27.7,10.8,光電業,向富棋,朱光沛
405,1604,聲寶,市,07/06,    ,17.6,0,0%,327,10,49.9,87.8,54.8,46.6,電器電纜,財團法人陳茂榜工商發展基金會,陳連春
406,3030,德律,市,07/06,    ,37.15,-0.2,-0.54%,212,10,23.6,87.8,28.2,14.7,其他電子業,陳玠源,陳玠源
407,8086,宏捷科,櫃,07/06,    ,61.2,0.5,+0.82%,3009,10,14.3,87.6,18.5,8.1,半導體業,祁幼銘,黃國鈞
408,1110,東泥,市,07/06,    ,15.2,0,0%,15,10,57.2,86.9,60.5,22.7,水泥工業,陳敏斷,吳長直
