排名,代號,名稱,市場,股本(億),市值(億),上市年數,產業別,董事長
48,2887,台新金,上市,958,1279,13.3,金控業,吳東亮
49,1476,儒鴻,上市,26.1,1135,14.1,紡織纖維,洪鎮海
50,2324,仁寶,上市,447,1123,23.3,電腦及週邊設備業,許勝雄
51,9921,巨大,上市,37.5,988,20.4,其他業,劉金標
52,3034,聯詠,上市,60.9,977,12.7,半導體業,何泰舜
53,9910,豐泰,上市,57.9,976,23.3,其他業,王秋雄
54,2227,裕日車,上市,30,963,10.4,汽車工業,嚴凱泰
55,2888,新光金,上市,983,959,13.3,金控業,吳東進
56,2823,中壽,上市,304,929,20.3,保險業,王銘陽
57,2301,光寶科,上市,234,907,19.5,電腦及週邊設備業,宋恭源
58,2498,宏達電,上市,82.8,861,13.2,通信網路業,王雪紅
59,5871,F-中租,上市,110,853,3.4,其他業,陳鳳龍
60,4958,F-臻鼎,上市,76.8,837,3.4,電子零組件業,沈慶芳
61,2618,長榮航,上市,386,814,13.7,航運業,張國煒
62,2356,英業達,上市,359,791,18.5,電腦及週邊設備業,李詩欽
63,5347,世界,上櫃,164,775,17.2,半導體業,章青駒
64,3673,F-TPK,上市,35.1,771,4.6,光電業,江朝瑞
65,2610,華航,上市,525,743,22.2,航運業,孫洪祥
66,2347,聯強,上市,159,696,19.4,電子通路業,苗豐強
67,2542,興富發,上市,89.7,690,16.1,建材營造業,鄭志隆
68,2915,潤泰全,上市,94.1,688,37.8,貿易百貨業,王綺帆
69,2615,萬海,上市,222,673,19,航運業,陳柏廷
70,5264,F-鎧勝,上市,34,669,2.3,電腦及週邊設備業,童子賢
71,9914,美利達,上市,29.9,665,22.6,其他業,曾崧柱
72,3702,大聯大,上市,166,646,9.5,電子通路業,黃偉祥
73,2201,裕隆,上市,157,631,38.9,汽車工業,嚴凱泰
74,2603,長榮,上市,348,628,27.7,航運業,張正鏞
75,2049,上銀,上市,26.1,620,5.9,電機機械,卓永財
76,3231,緯創,上市,247,608,11.8,電腦及週邊設備業,林憲銘
77,9945,潤泰新,上市,119,597,23.1,其他業,簡滄圳
78,2385,群光,上市,69.5,584,16.4,電腦及週邊設備業,許崑泰
79,1434,福懋,上市,168,582,29.4,紡織纖維,王文淵
80,1227,佳格,上市,72.1,577,21.1,食品工業,曹德風
81,2353,宏碁,上市,310,565,18.7,電腦及週邊設備業,黃少華
82,8299,群聯,上櫃,19.7,564,10.5,電腦及週邊設備業,潘健成
83,1504,東元,上市,200,563,41.5,電機機械,劉兆凱
84,2923,F-鼎固,上市,174,560,2.5,建材營造業,張洪本
85,5903,全家,上櫃,22.3,541,13.2,貿易百貨業,潘進丁
86,4174,浩鼎,上櫃,17.1,524,0.2,生技醫療業,張念慈
87,2834,臺企銀,上市,530,520,17.4,銀行業,黃添昌
88,1722,台肥,上市,98,517,17.2,化學工業,李復興
89,6176,瑞儀,上市,46.5,514,8,光電業,王本然
90,2448,晶電,上市,110,511,14,光電業,李秉傑
91,2451,創見,上市,43.1,495,14.1,半導體業,束崇萬
92,6239,力成,上市,77.9,493,10.5,半導體業,蔡篤恭
93,1477,聚陽,上市,19.1,474,12.3,紡織纖維,周理平
94,3682,亞太電,上市,389,471,1.8,通信網路業,呂芳銘
95,6147,頎邦,上櫃,64.9,465,13.3,半導體業,吳非艱
96,2379,瑞昱,上市,50.5,461,16.6,半導體業,葉南宏
97,1802,台玻,上市,238,459,41.8,玻璃陶瓷,林伯豐
98,2106,建大,上市,81.6,443,24.4,橡膠工業,楊銀明
99,6121,新普,上櫃,30.8,435,13.5,電腦及週邊設備業,宋福祥
100,2059,川湖,上市,9.53,417,6.9,電子零組件業,林聰吉
101,1590,F-亞德,上市,17,407,4.4,電機機械,王世忠
102,2327,國巨,上市,67.7,406,21.6,電子零組件業,陳泰銘
103,3189,景碩,上市,44.6,404,10.6,半導體業,童子賢
104,3532,台勝科,上市,77.6,396,7.4,半導體業,李志村
105,9917,中保,上市,45.1,394,21.5,其他業,林孝信
106,8044,網家,上櫃,8.68,389,10.3,資訊服務業,詹宏志
107,9933,中鼎,上市,75.9,387,22,其他業,余俊彥
108,8454,富邦媒,上市,14.2,385,0.4,貿易百貨業,林福星
109,8406,F-金可,上櫃,9.27,382,3.1,生技醫療業,蔡國洲
110,2634,漢翔,上市,90.8,377,0.7,航運業,廖榮鑫
