"4175","杏一","18.78","4.00","4.39","3.60"
"4180","安成藥","N/A","0.00","0.00","2.45"
"4188","安克","N/A","0.00","0.00","3.58"
"4192","杏國","N/A","0.00","0.00","2.85"
"4198","環瑞醫","N/A","0.00","0.00","2.79"
"4205","中華食","17.44","2.00","4.90","2.50"
"4207","環泰","N/A","0.46","4.71","0.94"
"4303","信立","15.83","0.60","4.51","1.22"
"4304","勝昱","N/A","0.00","0.00","1.07"
"4305","世坤","10.07","2.30","8.21","1.70"
"4401","東隆興","21.53","3.50","3.89","4.53"
"4402","福大","N/A","0.00","0.00","1.05"
"4406","新昕纖","N/A","0.00","0.00","1.05"
"4413","飛寶","78.57","0.00","0.00","8.82"
"4415","台原藥","N/A","0.00","0.00","10.68"
"4416","三圓","5.34","4.50","5.63","1.79"
"4417","金洲","8.58","1.80","5.54","1.39"
"4419","松懋","N/A","0.00","0.00","1.26"
"4420","光明","12.15","1.00","2.49","2.21"
"4429","聚紡","22.23","0.50","2.18","0.73"
"4430","耀億","12.00","1.20","4.16","0.83"
"4432","銘旺實","15.14","4.00","4.88","2.86"
"4433","興采","19.27","1.00","2.90","1.52"
"4502","健信","N/A","0.00","0.00","3.43"
"4503","金雨","N/A","0.00","0.00","2.53"
"4506","崇友","10.11","1.50","5.45","1.60"
"4510","高鋒","9.49","1.20","7.10","0.86"
"4513","福裕","4.34","0.50","4.93","0.75"
"4523","永彰","N/A","0.30","1.17","0.83"
"4527","方土霖","13.83","1.80","6.92","1.64"
"4528","江興鍛","14.55","2.00","3.66","2.54"
"4529","昶洧","N/A","0.00","0.00","1.59"
"4530","宏易","N/A","0.00","0.00","0.74"
"4533","協易機","20.80","0.60","3.85","0.93"
"4534","慶騰","26.23","0.60","4.00","1.23"
"4535","至興","14.05","2.25","4.93","1.56"
"4541","晟田","28.46","1.20","3.60","1.32"
"4542","科嶠","12.14","0.60","3.21","0.89"
"4543","萬在","13.96","0.00","0.00","1.08"
"4549","桓達","15.91","3.00","4.57","2.08"
"4550","長佳","9.90","1.25","6.10","1.03"
"4556","旭然","34.85","0.70","1.99","2.17"
"4609","唐鋒","N/A","0.00","0.00","0.84"
"4702","中美實","12.18","0.00","0.00","0.73"
"4706","大恭","18.35","0.90","5.06","1.07"
"4707","磐亞","17.63","0.60","7.09","0.50"
"4711","永純","21.81","0.70","5.53","0.71"
"4712","南璋","N/A","0.00","0.00","1.10"
"4714","永捷","27.69","0.50","5.64","0.67"
"4716","大立","18.82","0.50","4.83","0.86"
"4721","美琪瑪","15.82","1.30","4.98","1.81"
"4726","永昕","N/A","0.00","0.00","3.86"
"4728","雙美","N/A","0.61","1.38","4.07"
"4729","熒茂","N/A","0.00","0.00","1.25"
"4735","豪展","17.19","1.00","3.40","2.48"
"4736","泰博","17.43","5.20","4.71","2.94"
"4739","康普","21.77","1.60","3.25","1.96"
"4743","合一","N/A","2.00","6.06","2.33"
"4745","F-合富","15.41","2.60","3.82","2.46"
"4747","強生","23.68","1.75","4.06","1.61"
"4762","F-三汰","13.72","0.00","0.00","2.63"
"4803","F-VHQ","35.27","0.00","0.00","6.59"
"4804","F-大略","29.91","4.00","2.92","7.77"
"4806","昇華","26.88","0.00","0.00","2.83"
