"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料月份","非獨董監持股(萬張)","非獨董監增減張數","非獨董監持股(%)","非獨董監質押(萬張)","非獨董監質押(%)","獨立董監持股(萬張)","獨立董監增減張數","獨立董監持股(%)","獨立董監質押(萬張)","獨立董監質押(%)","全體董監持股(萬張)","全體董監增減張數","全體董監持股(%)","全體董監質押(萬張)","全體董監質押(%)"
"351","1530","亞崴","38.85","-0.05","-0.13%","15M04","5.16","-0.14","56.1%","0","0%","0","0","0%","0","0%","5.16","-0.14","56.1%","0","0%"
"352","5285","界霖","44.15","-0.65","-1.45%","15M04","2.4","0","35.2%","0","0%","0","0","0%","0","0%","2.4","0","35.2%","0","0%"
"353","2367","燿華","12.4","-0.05","-0.4%","15M04","4.58","0","8.09%","1.05","22.9%","0","0","0%","0","0%","4.58","0","8.09%","1.05","22.9%"
"354","1323","永裕","31.9","-0.05","-0.16%","15M04","1.43","0","15.6%","0","0%","0","0","0%","0","0%","1.43","0","15.6%","0","0%"
"355","3265","台星科","40.2","+0.05","+0.12%","15M04","7.13","0","52.3%","0","0%","0","0","0%","0","0%","7.13","0","52.3%","0","0%"
"356","1723","中碳","147.5","-1","-0.67%","15M04","8.28","0","34.9%","0","0%","0","0","0%","0","0%","8.28","0","34.9%","0","0%"
"357","2031","新光鋼","17.8","-0.2","-1.11%","15M04","3.15","0","11.3%","0.95","30.1%","0","0","0%","0","0%","3.15","0","11.3%","0.95","30.1%"
"358","2373","震旦行","53.4","+0.4","+0.75%","15M04","20.59","+184","61%","5.66","27.5%","0","0","0%","0","0%","20.59","+184","61%","5.66","27.5%"
"359","8443","阿瘦","30.8","+0.15","+0.49%","15M04","2.24","-150","33.6%","0","0%","0","0","0%","0","0%","2.24","-150","33.6%","0","0%"
"360","3052","夆典","14.25","0","0%","15M04","3.59","0","16%","0","0%","0","0","0%","0","0%","3.59","0","16%","0","0%"
"361","1712","興農","16.05","-0.1","-0.62%","15M04","2.28","0","6.64%","0.15","6.58%","0","0","0%","0","0%","2.28","0","6.64%","0.15","6.58%"
"362","3646","艾恩特","17.85","-0.2","-1.11%","15M04","0.42","0","10.8%","0","0%","0","0","0%","0","0%","0.42","0","10.8%","0","0%"
"363","2351","順德","39.3","+0.05","+0.13%","15M04","1.67","0","9.14%","0","0%","0","0","0%","0","0%","1.67","0","9.14%","0","0%"
"364","2385","群光","84","-0.6","-0.71%","15M04","12.34","-200","17.8%","3.49","26.8%","0","0","0%","0","0%","12.34","-200","17.8%","3.49","26.8%"
"365","6412","群電","42","+0.4","+0.96%","15M04","18.18","0","50.7%","0","0%","0","0","0%","0","0%","18.18","0","50.7%","0","0%"
"366","2006","東鋼","23.25","-0.05","-0.21%","15M04","14.2","0","14.2%","0","0%","0","0","0%","0","0%","14.2","0","14.2%","0","0%"
"367","1465","偉全","17","+0.3","+1.8%","15M04","2.35","-60","22.6%","0","0%","0","0","0%","0","0%","2.35","-60","22.6%","0","0%"
"368","2501","國建","17.9","-0.15","-0.83%","15M04","33.45","0","20.2%","0","0%","0","0","0%","0","0%","33.45","0","20.2%","0","0%"
"369","8905","裕國","17.9","-0.05","-0.28%","15M04","3.51","0","29.4%","0","0%","0","0","0%","0","0%","3.51","0","29.4%","0","0%"
"370","3551","世禾","44.8","+1.9","+4.43%","15M04","0.96","0","16.8%","0","0%","0","0","0.01%","0","0%","0.97","0","16.8%","0","0%"
"371","1513","中興電","21.55","+0.05","+0.23%","15M04","4","0","9.53%","1.78","44.4%","0","0","0%","0","0%","4","0","9.53%","1.78","44.4%"
"372","2464","盟立","28.75","+0.1","+0.35%","15M04","2.42","0","13.2%","0.11","4.59%","0.01","0","0.03%","0","0%","2.42","0","13.3%","0.11","4.58%"
"373","3454","晶睿","78.2","0","0%","15M04","1.61","0","21.8%","0","0%","0","0","0%","0","0%","1.61","0","21.8%","0","0%"
"374","3501","維熹","46.75","+0.05","+0.11%","15M04","2.76","0","23.8%","0","0%","0","0","0%","0","0%","2.76","0","23.8%","0","0%"
"375","2357","華碩","306","+3.5","+1.16%","15M04","3.93","0","5.29%","0","0%","0","0","0%","0","0%","3.93","0","5.29%","0","0%"
"376","2359","所羅門","18","-0.1","-0.55%","15M04","3.19","0","18.6%","0.28","8.79%","0","0","0%","0","0%","3.19","0","18.6%","0.28","8.79%"
"377","6005","群益證","10.8","+0.05","+0.47%","15M04","11.52","-20","4.86%","0","0%","0","0","0%","0","0%","11.52","-20","4.86%","0","0%"
"378","8091","翔名","72.2","-0.4","-0.55%","15M04","1.04","0","20.1%","0","0%","0","0","0%","0","0%","1.04","0","20.1%","0","0%"
"379","6224","聚鼎","75.7","+2.8","+3.84%","15M04","2.22","-120","27.8%","0.06","2.87%","0","0","0%","0","0%","2.22","-120","27.8%","0.06","2.87%"
"380","6229","研通","14.1","-0.15","-1.05%","15M04","0.85","0","23.6%","0","0%","0.01","0","0.18%","0","0%","0.86","0","23.8%","0","0%"
"381","4927","F-泰鼎","45.2","0","0%","15M04","0.28","0","2.28%","0.05","19.1%","0","0","0%","0","0%","0.28","0","2.28%","0.05","19.1%"
"382","6422","F-君耀","63.3","+0.5","+0.8%","15M04","1.33","0","38.1%","0","0%","0","0","0%","0","0%","1.33","0","38.1%","0","0%"
"383","6130","基因","36.2","+0.95","+2.7%","15M04","1.22","0","45.7%","0","0%","0","0","0%","0","0%","1.22","0","45.7%","0","0%"
"384","8424","惠普","45.3","-0.2","-0.44%","15M04","1.87","0","51.9%","1.1","58.8%","0","0","0%","0","0%","1.87","0","51.9%","1.1","58.8%"
"385","2023","燁輝","9.06","-0.01","-0.11%","15M04","12.52","0","7.5%","3.5","28%","0","0","0%","0","0%","12.52","0","7.5%","3.5","28%"
"386","5272","笙科","63.6","+0.5","+0.79%","15M04","0.42","0","8.99%","0","0%","0","0","0%","0","0%","0.42","0","8.99%","0","0%"
"387","5347","世界","47.3","-0.9","-1.87%","15M04","82.03","0","50%","0","0%","0","0","0%","0","0%","82.03","0","50%","0","0%"
"388","3023","信邦","54.6","+0.2","+0.37%","15M04","1.42","-230","6.84%","0.23","13.4%","0","0","0%","0","0%","1.42","-230","6.84%","0.23","13.4%"
"389","4912","F-聯德","85.8","+1.2","+1.42%","15M04","1.64","-45","44.1%","0","0%","0","0","0%","0","0%","1.64","-45","44.1%","0","0%"
"390","1717","長興","32.85","-0.15","-0.45%","15M04","18.66","+1,360","18.3%","4.53","24.2%","0","0","0%","0","0%","18.66","+1,360","18.3%","4.53","24.2%"
"391","1727","中華化","18.25","+0.15","+0.83%","15M04","1.93","0","18.4%","0","0%","0","0","0%","0","0%","1.93","0","18.4%","0","0%"
"392","2908","特力","21","+0.3","+1.45%","15M04","10.46","+5,372","20.3%","2.24","21.4%","0","0","0%","0","0%","10.46","+5,372","20.3%","2.24","21.4%"
"393","4550","長佳","22.85","-0.15","-0.65%","15M04","1.5","0","45.6%","0","0%","0","0","0%","0","0%","1.5","0","45.6%","0","0%"
"394","6221","晉泰","23.8","+0.2","+0.85%","15M04","0.66","0","17.7%","0","0%","0","0","0.02%","0","0%","0.66","0","17.7%","0","0%"
"395","2472","立隆電","33","+1.15","+3.61%","15M04","3.97","0","25.7%","0.18","4.65%","0","0","0%","0","0%","3.97","0","25.7%","0.18","4.65%"
"396","8150","南茂","40.75","-1","-2.4%","15M04","52.74","0","61%","0","0%","0","0","0%","0","0%","52.74","0","61%","0","0%"
"397","3588","通嘉","36.8","+0.4","+1.1%","15M04","0.58","0","12.6%","0","0%","0","0","0%","0","0%","0.58","0","12.6%","0","0%"
"398","2916","滿心","20.25","-0.05","-0.25%","15M04","2.14","0","39.2%","0.69","31.2%","0","0","0%","0","0%","2.14","0","39.2%","0.69","31.2%"
"399","6803","崑鼎","172","-0.5","-0.29%","15M04","3.95","0","60.4%","0","0%","0","0","0%","0","0%","3.95","0","60.4%","0","0%"
"400","2029","盛餘","21.3","0","0%","15M04","21.13","0","65.8%","0","0%","0","0","0%","0","0%","21.13","0","65.8%","0","0%"
"401","5234","達興","40.8","+0.1","+0.25%","15M04","4.4","0","47.1%","0","0%","0","0","0%","0","0%","4.4","0","47.1%","0","0%"
"402","4933","友輝","37.1","+0.1","+0.27%","15M04","3.88","0","49.6%","0","0%","0","0","0%","0","0%","3.88","0","49.6%","0","0%"
"403","4953","緯軟","33.4","+0.25","+0.75%","15M04","1.63","-126","38.2%","0","0%","0","0","0%","0","0%","1.63","-126","38.2%","0","0%"
"404","8182","加高","14.85","+0.15","+1.02%","15M04","5.99","0","56%","0.1","1.66%","0","0","0%","0","0%","5.99","0","56%","0.1","1.66%"
"405","5907","F-大洋","55.7","-0.6","-1.07%","15M04","9.83","0","48.7%","0.35","3.55%","0","0","0%","0","0%","9.83","0","48.7%","0.35","3.55%"
"406","2454","聯發科","410","+10","+2.5%","15M04","8.32","0","5.29%","0","0%","0","0","0%","0","0%","8.32","0","5.29%","0","0%"
"407","3672","康聯訊","52.3","+1.7","+3.36%","15M04","1.13","-40","45.4%","0","0%","0","0","0%","0","0%","1.13","-40","45.4%","0","0%"
"408","9930","中聯資","78.5","-0.8","-1.01%","15M04","15.9","0","70.4%","0.38","2.39%","0","0","0%","0","0%","15.9","0","70.4%","0.38","2.39%"
"409","2067","嘉鋼","18.7","+0.5","+2.75%","15M04","1.02","0","35.8%","0.25","24.6%","0.01","0","0.28%","0","0%","1.02","0","36%","0.25","24.4%"
"410","3380","明泰","22.45","-0.5","-2.18%","15M04","16.66","-103","33.8%","0","0%","0","0","0%","0","0%","16.66","-103","33.8%","0","0%"
"411","4144","F-康聯","67.5","0","0%","15M04","0","0","0%","0","0%","0","0","0%","0","0%","0","0","0%","0","0%"
"412","1108","幸福","11.25","+0.05","+0.45%","15M04","3.46","0","8.56%","1.24","35.9%","0","0","0%","0","0%","3.46","0","8.56%","1.24","35.9%"
"413","3559","全智科","22.5","-0.25","-1.1%","15M04","2.38","-87","20%","0","0%","0","0","0%","0","0%","2.38","-87","20%","0","0%"
"414","6206","飛捷","122","+0.5","+0.41%","15M04","1.73","0","12.5%","0","0%","0.02","0","0.17%","0","0%","1.76","0","12.7%","0","0%"
"415","3088","艾訊","75.1","-0.5","-0.66%","15M04","2.19","0","27.6%","0","0%","0","0","0%","0","0%","2.19","0","27.6%","0","0%"
"416","5013","強新","22.55","+0.3","+1.35%","15M04","1.64","0","16.3%","0","0%","0","0","0%","0","0%","1.64","0","16.3%","0","0%"
"417","4916","事欣科","28.25","-0.4","-1.4%","15M04","0.82","0","12.1%","0","0%","0","0","0%","0","0%","0.82","0","12.1%","0","0%"
"418","6278","台表科","37.7","+0.15","+0.4%","15M04","2","0","7.11%","0","0%","0.03","0","0.11%","0","0%","2.03","0","7.22%","0","0%"
"419","1558","伸興","170","+1","+0.59%","15M04","0.78","-35.5","12.9%","0","0%","0","0","0%","0","0%","0.78","-35.5","12.9%","0","0%"
"420","1473","台南","30.3","-0.55","-1.78%","15M04","2.08","-45","14.2%","0.19","9.09%","0","0","0%","0","0%","2.08","-45","14.2%","0.19","9.09%"
"421","2640","大車隊","102.5","-0.5","-0.49%","15M04","1.57","-69","37.3%","0.4","21.4%","0","0","0%","0","0%","1.57","-69","37.3%","0.4","21.4%"
"422","2338","光罩","9.5","0","0%","15M04","5.21","0","19.8%","0.44","8.54%","0","0","0%","0","0%","5.21","0","19.8%","0.44","8.54%"
"423","3047","訊舟","11.4","0","0%","15M04","1.26","0","6.36%","0","0%","0","0","0%","0","0%","1.26","0","6.36%","0","0%"
"424","5469","瀚宇博","11.4","+0.1","+0.88%","15M04","12.11","0","26.6%","0","0%","0","0","0%","0","0%","12.11","0","26.6%","0","0%"
"425","3045","台灣大","106.5","+0.5","+0.47%","15M04","20.62","0","6.03%","0","0%","0","0","0%","0","0%","20.62","0","6.03%","0","0%"
"426","6148","驊宏資","8.66","+0.05","+0.58%","15M04","2.16","0","24.5%","0","0%","0","0","0%","0","0%","2.16","0","24.5%","0","0%"
"427","3541","西柏","114.5","0","0%","15M04","0.61","0","15.8%","0","0%","0","0","0%","0","0%","0.61","0","15.8%","0","0%"
"428","8289","泰藝","12.5","+0.15","+1.21%","15M04","1.1","0","14.2%","0","0%","0","0","0%","0","0%","1.1","0","14.2%","0","0%"
"429","1340","F-勝悅","95.5","-0.3","-0.31%","15M04","0","0","0%","0","0%","0","0","0%","0","0%","0","0","0%","0","0%"
"430","1522","堤維西","19.15","-0.25","-1.29%","15M04","3.67","0","11.7%","0.44","12%","0","0","0%","0","0%","3.67","0","11.7%","0.44","12%"
"431","2885","元大金","17.35","+0.05","+0.29%","15M04","47.59","0","4.69%","12.03","25.3%","0","0","0%","0","0%","47.59","0","4.69%","12.03","25.3%"
"432","3311","閎暉","23","+0.3","+1.32%","15M04","6.08","0","32.1%","0","0%","0","0","0%","0","0%","6.08","0","32.1%","0","0%"
"433","2301","光寶科","38.75","+0.35","+0.91%","15M04","19.43","0","8.3%","0","0%","0","0","0%","0","0%","19.43","0","8.3%","0","0%"
"434","3029","零壹","19.2","+0.55","+2.95%","15M04","2.68","0","28.3%","0.35","13%","0","0","0%","0","0%","2.68","0","28.3%","0.35","13%"
"435","4904","遠傳","72","-0.1","-0.14%","15M04","110","0","33.7%","4.31","3.92%","0","0","0%","0","0%","110","0","33.7%","4.31","3.92%"
"436","2233","宇隆","91.2","-0.8","-0.87%","15M04","0.56","-120","11.4%","0","0%","0","0","0.09%","0","0%","0.56","-120","11.5%","0","0%"
"437","1730","花仙子","32.65","+1","+3.16%","15M04","1.41","0","26.3%","0","0%","0","0","0%","0","0%","1.41","0","26.3%","0","0%"
"438","2886","兆豐金","26.95","-0.05","-0.19%","15M04","252.6","+5,711","20.3%","0","0%","0","0","0%","0","0%","252.6","+5,711","20.3%","0","0%"
"439","2316","楠梓電","28.9","-0.1","-0.34%","15M04","3.9","0","12.2%","0","0%","0","0","0%","0","0%","3.9","0","12.2%","0","0%"
"440","1788","杏昌","96.4","+0.6","+0.63%","15M04","0.84","0","23.9%","0","0%","0","0","0%","0","0%","0.84","0","23.9%","0","0%"
"441","2836","高雄銀","9.64","+0.01","+0.1%","15M04","37.24","+217","50.3%","3.7","9.93%","0","0","0%","0","0%","37.24","+217","50.3%","3.7","9.93%"
"442","2462","良得電","21.25","-0.05","-0.23%","15M04","1.17","0","11.1%","0.11","9.37%","0","0","0%","0","0%","1.17","0","11.1%","0.11","9.37%"
"443","2809","京城銀","29","-0.05","-0.17%","15M04","3.94","0","3.28%","1.6","40.6%","0","0","0%","0","0%","3.94","0","3.28%","1.6","40.6%"
"444","1236","宏亞","25.15","-0.1","-0.4%","15M04","2.67","0","24.6%","0.48","15.5%","0","0","0%","0","0%","2.67","0","24.6%","0.48","15.5%"
"445","6192","巨路","58.1","+0.1","+0.17%","15M04","1.04","-1","8.77%","0.06","5.49%","0","0","0%","0","0%","1.04","-1","8.77%","0.06","5.49%"
"446","2888","新光金","9.75","-0.04","-0.41%","15M04","95.23","0","9.68%","39.77","41.8%","0","0","0%","0","0%","95.23","0","9.68%","39.77","41.8%"
"447","8921","沈氏","19.5","0","0%","15M04","2.11","0","45.3%","0","0%","0","0","0%","0","0%","2.11","0","45.3%","0","0%"
"448","2606","裕民","43","-0.05","-0.12%","15M04","34.63","0","40.4%","5.4","15.6%","0","0","0%","0","0%","34.63","0","40.4%","5.4","15.6%"
"449","1593","祺驊","45","+0.15","+0.33%","15M04","0.5","0","16.5%","0","0%","0","0","0%","0","0%","0.5","0","16.5%","0","0%"
"450","3114","好德","15.65","+0.25","+1.62%","15M04","1.03","+57","20.7%","0","0%","0.01","0","0.16%","0","0%","1.04","+57","20.8%","0","0%"
"451","4104","佳醫","48.95","-0.6","-1.21%","15M04","1.88","0","16.7%","0","0%","0","0","0%","0","0%","1.88","0","16.7%","0","0%"
"452","2613","中櫃","16.85","-0.05","-0.3%","15M04","3.48","0","37.3%","0","0%","0","0","0%","0","0%","3.48","0","37.3%","0","0%"
"453","2382","廣達","78.4","+0.2","+0.26%","15M04","110.9","0","28.7%","0","0%","0","0","0%","0","0%","110.9","0","28.7%","0","0%"
"454","2734","易飛網","39.25","+0.5","+1.29%","15M04","1.27","0","48.5%","0","0%","0","0","0%","0","0%","1.27","0","48.5%","0","0%"
"455","3466","致振","29.55","+0.7","+2.43%","15M04","0.92","0","15.1%","0","0%","0","0","0%","0","0%","0.92","0","15.1%","0","0%"
"456","8383","千附","39.4","+1.7","+4.51%","15M04","2.26","-10","19.1%","0","0%","0.01","0","0.07%","0","0%","2.27","-10","19.2%","0","0%"
"457","5609","中菲行","20.1","0","0%","15M04","2.21","0","17.2%","0.3","13.5%","0","0","0%","0","0%","2.21","0","17.2%","0.3","13.5%"
"458","3236","千如","13.8","+0.05","+0.36%","15M04","0.59","0","10.3%","0","0%","0","0","0%","0","0%","0.59","0","10.3%","0","0%"
"459","4939","亞電","13.8","-0.1","-0.72%","15M04","0.67","0","6.8%","0.05","7.38%","0","0","0.03%","0","0%","0.67","0","6.84%","0.05","7.34%"
"460","2455","全新","39.45","+0.25","+0.64%","15M04","2.01","0","8.16%","0.54","27%","0.01","0","0.04%","0","0%","2.02","0","8.21%","0.54","26.9%"
"461","2106","建大","54.3","+0.7","+1.31%","15M04","21.32","0","26.1%","1.23","5.76%","0","0","0%","0","0%","21.32","0","26.1%","1.23","5.76%"
"462","6215","和椿","19.75","+0.15","+0.77%","15M04","1.6","0","19.4%","0.59","36.8%","0.01","0","0.07%","0.01","100%","1.61","0","19.4%","0.6","37%"
"463","1264","德麥","216","-2","-0.92%","15M04","0.75","-138","22.7%","0","0%","0","0","0%","0","0%","0.75","-138","22.7%","0","0%"
"464","4535","至興","49.4","-0.6","-1.2%","15M04","3.05","0","40.3%","0","0%","0","0","0%","0","0%","3.05","0","40.3%","0","0%"
"465","2509","全坤建","23.75","+0.3","+1.28%","15M04","3.33","0","21.9%","0","0%","0","0","0%","0","0%","3.33","0","21.9%","0","0%"
"466","6213","聯茂","23.75","-0.2","-0.84%","15M04","4.5","0","14.2%","0","0%","0","0","0%","0","0%","4.5","0","14.2%","0","0%"
"467","3553","力積","24.45","+0.55","+2.3%","15M04","0.82","0","12%","0","0%","0","0","0%","0","0%","0.82","0","12%","0","0%"
"468","3131","弘塑","149","+1.5","+1.02%","15M04","0.7","-6","28.4%","0","0%","0","0","0%","0","0%","0.7","-6","28.4%","0","0%"
"469","2423","固緯","19.9","-0.1","-0.5%","15M04","4.32","0","32.8%","0.69","16.1%","0","0","0%","0","0%","4.32","0","32.8%","0.69","16.1%"
"470","1735","日勝化","11.95","+0.05","+0.42%","15M04","4.61","0","46.4%","0","0%","0","0","0%","0","0%","4.61","0","46.4%","0","0%"
"471","2883","開發金","11.95","0","0%","15M03","87.02","0","5.67%","64.16","73.7%","0","0","0%","0","0%","87.02","0","5.67%","64.16","73.7%"
"472","2801","彰銀","17.95","+0.05","+0.28%","15M04","274.6","0","34.7%","0","0%","0","0","0%","0","0%","274.6","0","34.7%","0","0%"
"473","2485","兆赫","29.95","+0.05","+0.17%","15M04","3.84","0","12.1%","0","0%","0","0","0%","0","0%","3.84","0","12.1%","0","0%"
"474","3491","昇達科","82.1","+0.2","+0.24%","15M04","0.48","+54","9.44%","0","0%","0","0","0%","0","0%","0.48","+54","9.44%","0","0%"
"475","2066","世德","110","0","0%","15M04","2.25","-68","62.4%","0","0%","0","0","0%","0","0%","2.25","-68","62.4%","0","0%"
"476","4722","國精化","30","+0.3","+1.01%","15M04","1","0","11.4%","0","0%","0.04","0","0.51%","0","0%","1.05","0","11.9%","0","0%"
"477","5520","力泰","27","0","0%","15M04","3.5","+27","49.3%","0","0%","0","0","0%","0","0%","3.5","+27","49.3%","0","0%"
"478","8234","新漢","40","-0.7","-1.72%","15M04","1.3","0","9.22%","0","0%","0","0","0%","0","0%","1.3","0","9.22%","0","0%"
"479","8255","朋程","120","+0.5","+0.42%","15M04","1.2","0","16%","0","0%","0.02","0","0.29%","0","0%","1.22","0","16.3%","0","0%"
"480","1733","五鼎","50.1","+0.1","+0.2%","15M04","1.08","0","10.9%","0","0%","0","0","0%","0","0%","1.08","0","10.9%","0","0%"
"481","6217","中探針","42.1","+0.1","+0.24%","15M04","2.04","0","37.5%","0","0%","0","0","0%","0","0%","2.04","0","37.5%","0","0%"
"482","6176","瑞儀","110.5","0","0%","15M04","1.94","0","4.17%","0","0%","0.08","0","0.16%","0","0%","2.01","0","4.33%","0","0%"
"483","6121","新普","141","+0.5","+0.36%","15M04","1.89","0","6.11%","0","0%","0","0","0%","0","0%","1.89","0","6.11%","0","0%"
"484","5209","新鼎","51","0","0%","15M04","1.18","0","50%","0","0%","0","0","0%","0","0%","1.18","0","50%","0","0%"
"485","2230","泰茂","16.15","+0.15","+0.94%","15M04","0.98","0","24.7%","0","0%","0","0","0%","0","0%","0.98","0","24.7%","0","0%"
"486","4942","嘉彰","26.15","+0.05","+0.19%","15M04","2.24","0","14.7%","0","0%","0","0","0%","0","0%","2.24","0","14.7%","0","0%"
"487","2486","一詮","15.15","+0.15","+1%","15M04","3.79","0","18.5%","0","0%","0","0","0%","0","0%","3.79","0","18.5%","0","0%"
"488","3567","逸昌","14.15","+0.05","+0.35%","15M04","0.35","-103","9.87%","0","0%","0","0","0%","0","0%","0.35","-103","9.87%","0","0%"
"489","2412","中華電","98.2","+0.6","+0.61%","15M04","273.8","0","35.3%","0","0%","0","0","0%","0","0%","273.8","0","35.3%","0","0%"
"490","4947","F-昂寶","172","+3","+1.78%","15M04","1.43","0","31.9%","0","0%","0","0","0%","0","0%","1.43","0","31.9%","0","0%"
"491","5014","建錩","9.11","-0.07","-0.76%","15M04","2.54","0","15.3%","0.75","29.6%","0","0","0%","0","0%","2.54","0","15.3%","0.75","29.6%"
"492","6452","F-康友","162","0","0%","15M04","2.61","0","40.2%","0","0%","0","0","0%","0","0%","2.61","0","40.2%","0","0%"
"493","3581","博磊","22.3","+0.05","+0.22%","15M03","0.71","0","15.6%","0","0%","0","0","0%","0","0%","0.71","0","15.6%","0","0%"
"494","9924","福興","40.55","+1.2","+3.05%","15M04","1.69","0","8.98%","0","0%","0","0","0%","0","0%","1.69","0","8.98%","0","0%"
"495","2428","興勤","42.6","-0.25","-0.58%","15M04","2.83","0","22.2%","0.4","14.1%","0","0","0%","0","0%","2.83","0","22.2%","0.4","14.1%"
"496","3044","健鼎","55.9","0","0%","15M04","2.83","0","5.38%","0","0%","0","0","0%","0","0%","2.83","0","5.38%","0","0%"
"497","8074","鉅橡","26.5","0","0%","15M04","0.71","0","10.9%","0","0%","0","0","0%","0","0%","0.71","0","10.9%","0","0%"
"498","3322","建舜電","10.2","-0.1","-0.97%","15M04","1.66","0","19.5%","0.07","4.42%","0.01","0","0.11%","0","0%","1.67","0","19.6%","0.07","4.39%"
"499","4432","銘旺實","92","-1.8","-1.92%","15M04","2.27","-62","47.1%","0","0%","0","0","0%","0","0%","2.27","-62","47.1%","0","0%"
"500","6218","豪勉","20.5","+0.1","+0.49%","15M04","0.97","0","15%","0","0%","0.06","0","0.92%","0","0%","1.02","0","15.9%","0","0%"
"501","8215","明基材","26.7","0","0%","15M04","13.03","0","40.6%","0","0%","0","0","0%","0","0%","13.03","0","40.6%","0","0%"
"502","1580","新麥","179","+1","+0.56%","15M04","0.63","0","13.3%","0","0%","0","0","0%","0","0%","0.63","0","13.3%","0","0%"
"503","8923","時報","17.5","-0.35","-1.96%","15M04","1.75","0","57.5%","0.24","13.7%","0","0","0%","0","0%","1.75","0","57.5%","0.24","13.7%"
"504","1708","東鹼","41.3","+0.2","+0.49%","15M04","2.87","0","16.5%","0.1","3.48%","0","0","0%","0","0%","2.87","0","16.5%","0.1","3.48%"
"505","3444","利機","20.65","-0.15","-0.72%","15M04","0.77","+3","19.7%","0","0%","0","0","0%","0","0%","0.77","+3","19.7%","0","0%"
"506","6603","富強鑫","12.4","-0.45","-3.5%","15M04","2.73","0","23.3%","0","0%","0","0","0%","0","0%","2.73","0","23.3%","0","0%"
"507","2114","鑫永銓","103.5","0","0%","15M04","1.31","0","19.3%","0","0%","0","0","0%","0","0%","1.31","0","19.3%","0","0%"
"508","2484","希華","20.7","+0.4","+1.97%","15M04","1.55","0","9.72%","0","0%","0","0","0%","0","0%","1.55","0","9.72%","0","0%"
"509","1447","力鵬","10.4","-0.1","-0.95%","15M04","17.05","0","19.6%","0","0%","0","0","0%","0","0%","17.05","0","19.6%","0","0%"
"510","3022","威強電","52.1","-0.3","-0.57%","15M04","8.52","0","25.9%","0.3","3.52%","0","0","0%","0","0%","8.52","0","25.9%","0.3","3.52%"
"511","8354","冠好","16.7","-0.15","-0.89%","15M04","1.17","0","18.4%","0","0%","0","0","0%","0","0%","1.17","0","18.4%","0","0%"
"512","5604","中連貨","37.6","0","0%","15M04","1.21","0","11.2%","0","0%","0","0","0%","0","0%","1.21","0","11.2%","0","0%"
"513","1514","亞力","9.41","-0.02","-0.21%","15M04","3.15","-15","15.7%","0.09","2.75%","0","0","0%","0","0%","3.15","-15","15.7%","0.09","2.75%"
"514","2881","富邦金","62.8","+0.5","+0.8%","15M04","220.1","0","21.5%","0","0%","0","0","0%","0","0%","220.1","0","21.5%","0","0%"
"515","6120","達運","16.75","+0.05","+0.3%","15M04","24.65","+0.14","32.9%","0.95","3.83%","0","0","0%","0","0%","24.65","+0.14","32.9%","0.95","3.83%"
"516","5388","中磊","63","-0.9","-1.41%","15M04","1.32","-590","5.7%","0.53","29.4%","0","0","0%","0","0%","1.32","-590","5.7%","0.53","29.4%"
"517","4119","旭富","69.5","+0.9","+1.31%","15M04","2.52","0","36.2%","0","0%","0","0","0%","0","0%","2.52","0","36.2%","0","0%"
"518","6239","力成","63.3","+0.9","+1.44%","15M04","4.33","0","5.56%","2.5","57.7%","0.04","0","0.05%","0","0%","4.37","0","5.61%","2.5","57.2%"
"519","3323","加百裕","21.1","0","0%","15M04","0.87","0","9.18%","0.27","30.8%","0","+3","0.04%","0","0%","0.88","+3","9.22%","0.27","30.7%"
"520","5288","F-豐祥","74.1","-1.8","-2.37%","15M04","3.86","0","59.8%","0","0%","0","0","0%","0","0%","3.86","0","59.8%","0","0%"
"521","5289","宜鼎","106","-0.5","-0.47%","15M04","0.96","-69","16.3%","0","0%","0","0","0%","0","0%","0.96","-69","16.3%","0","0%"
"522","5007","三星","74.2","-0.3","-0.4%","15M04","2.29","0","8.54%","0.3","13.1%","0","0","0%","0","0%","2.29","0","8.54%","0.3","13.1%"
"523","2855","統一證","17.25","+0.1","+0.58%","15M04","10.65","0","8.05%","0","0%","0","0","0%","0","0%","10.65","0","8.05%","0","0%"
"524","4138","曜亞","74.7","+0.6","+0.81%","15M04","1.16","-186","38.5%","0","0%","0","0","0%","0","0%","1.16","-186","38.5%","0","0%"
"525","3362","先進光","21.35","+0.05","+0.23%","15M04","2.12","0","22.7%","0","0%","0","0","0%","0","0%","2.12","0","22.7%","0","0%"
"526","3169","亞信","32.05","+0.6","+1.91%","15M04","0.65","0","12.5%","0","0%","0","0","0%","0","0%","0.65","0","12.5%","0","0%"
"527","6449","鈺邦","34.2","-0.3","-0.87%","15M04","1.63","0","22.3%","0","0%","0","0","0%","0","0%","1.63","0","22.3%","0","0%"
"528","4747","強生","46","+1.5","+3.37%","15M04","0.79","0","26.4%","0","0%","0","0","0%","0","0%","0.79","0","26.4%","0","0%"
"529","9950","萬國通","25.55","+0.05","+0.2%","15M04","1.65","0","27.3%","0.35","21.2%","0","0","0%","0","0%","1.65","0","27.3%","0.35","21.2%"
"530","1410","南染","25.8","-0.1","-0.39%","15M04","1.33","0","18.5%","0","0%","0","0","0%","0","0%","1.33","0","18.5%","0","0%"
