"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料月份","非獨董監持股(萬張)","非獨董監增減張數","非獨董監持股(%)","非獨董監質押(萬張)","非獨董監質押(%)","獨立董監持股(萬張)","獨立董監增減張數","獨立董監持股(%)","獨立董監質押(萬張)","獨立董監質押(%)","全體董監持股(萬張)","全體董監增減張數","全體董監持股(%)","全體董監質押(萬張)","全體董監質押(%)"
"274","3556","禾瑞亞","75","-2.6","-3.35%","15M04","0.65","0","12.3%","0","0%","0","0","0%","0","0%","0.65","0","12.3%","0","0%"
"275","6609","瀧澤科","32.65","-0.65","-1.95%","15M04","3.23","0","45.5%","0","0%","0.01","0","0.16%","0","0%","3.24","0","45.6%","0","0%"
"276","2906","高林","14.7","+0.05","+0.34%","15M04","7.29","+33","34.4%","0","0%","0","0","0%","0","0%","7.29","+33","34.4%","0","0%"
"277","3144","新揚科","24.5","-0.1","-0.41%","15M04","6.18","0","61.4%","0","0%","0","0","0%","0","0%","6.18","0","61.4%","0","0%"
"278","6123","上奇","24.5","+0.25","+1.03%","15M04","1.27","0","23%","0.04","3.16%","0","0","0%","0","0%","1.27","0","23%","0.04","3.16%"
"279","6164","華興","13.9","+0.05","+0.36%","15M04","1.06","0","8.97%","0","0%","0","0","0%","0","0%","1.06","0","8.97%","0","0%"
"280","6281","全國電","63.8","-0.2","-0.31%","15M04","1.4","0","14.1%","0.1","7.16%","0","0","0%","0","0%","1.4","0","14.1%","0.1","7.16%"
"281","2856","元富證","10.8","0","0%","15M04","60.49","0","39.3%","2.68","4.43%","0","0","0%","0","0%","60.49","0","39.3%","2.68","4.43%"
"282","5880","合庫金","16.4","+0.1","+0.61%","15M04","291.8","0","32.3%","0","0%","0","0","0%","0","0%","291.8","0","32.3%","0","0%"
"283","2362","藍天","41","+0.4","+0.99%","15M04","6.86","0","10%","1.63","23.8%","0","0","0%","0","0%","6.86","0","10%","1.63","23.8%"
"284","3231","緯創","24.65","0","0%","15M04","3.44","0","1.39%","0","0%","0.01","0","0%","0","0%","3.44","0","1.4%","0","0%"
"285","2015","豐興","41.1","0","0%","15M04","11.31","-3,543","19.4%","0.5","3.9%","0","0","0%","0","0%","11.31","-3,543","19.4%","0.5","3.9%"
"286","3264","欣銓","27.95","-0.05","-0.18%","15M03","7.03","0","14.8%","0","0%","0","0","0.01%","0","0%","7.03","0","14.8%","0","0%"
"287","4720","德淵","16.45","+0.35","+2.17%","15M04","2.32","+386","30.8%","0.34","14.5%","0","0","0%","0","0%","2.32","+386","30.8%","0.34","14.5%"
"288","2820","華票","11.85","+0.05","+0.42%","15M04","38.25","0","28.5%","0","0%","0","0","0%","0","0%","38.25","0","28.5%","0","0%"
"289","8064","東捷","16.55","+0.6","+3.76%","15M04","1.39","0","10.4%","0","0%","0","0","0%","0","0%","1.39","0","10.4%","0","0%"
"290","3006","晶豪科","43.8","+2.85","+6.96%","15M04","1.66","0","6.09%","0","0%","0","0","0%","0","0%","1.66","0","6.09%","0","0%"
"291","2421","建準","19.8","0","0%","15M04","2.53","-265","10.1%","0.57","22.6%","0","0","0%","0","0%","2.53","-265","10.1%","0.57","22.6%"
"292","6197","佳必琪","36.35","+0.65","+1.82%","15M04","2.98","+100","17.2%","0","0%","0","0","0%","0","0%","2.98","+100","17.2%","0","0%"
"293","5878","台名","59.5","-0.2","-0.34%","15M04","0.72","0","38.3%","0","0%","0","0","0%","0","0%","0.72","0","38.3%","0","0%"
"294","1464","得力","24.8","-0.5","-1.98%","15M04","4.86","-1,090","22.4%","1.32","27.1%","0","0","0%","0","0%","4.86","-1,090","22.4%","1.32","27.1%"
