"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料年度","政府機構(%)","政府機構增減","僑外投資(%)","僑外投資增減","本國金融機構(%)","本國金融機構增減","本國法人(%)","本國法人增減","本國個人(%)","本國個人增減","庫藏股票(%)","庫藏股票增減"
"1027","3455","由田","30.4","-0.6","-1.94%","2014","0%","0","0.3%","-1","4.6%","-0.01","1.7%","-0.06","93.4%","+1.08","0%","0"
"1028","5491","連展","8.53","+0.2","+2.4%","2014","0%","0","1%","-0.21","0%","0","2%","-0.92","97%","+1.13","0%","0"
"1029","4956","光鋐","18.4","+0.55","+3.08%","2014","0%","0","5.6%","+0.13","0%","0","27%","-2.23","67.4%","+2.1","0%","0"
"1030","3038","全台","8.1","+0.04","+0.5%","2014","0%","0","0.6%","+0.46","0%","0","6.5%","-0.16","92.9%","-0.3","0%","0"
"1031","1539","巨庭","28","+0.45","+1.63%","2015","0%","0","0.7%","+0.56","0.7%","-0.79","43.2%","-0.57","55.4%","+0.8","0%","0"
"1032","1566","捷邦","27.3","-0.2","-0.73%","2014","0%","0","4.9%","-0.34","0%","0","30.8%","-5.47","64.3%","+5.81","0%","0"
"1033","2546","根基","17.2","+0.1","+0.58%","2014","0%","0","0.5%","-1.27","0.1%","+0.06","46.3%","-0.16","53.1%","+1.36","0%","0"
"1034","3029","零壹","19.2","+0.55","+2.95%","2014","0%","0","0.3%","+0.11","2.2%","0","4.6%","-0.65","93%","+0.55","0%","0"
"1035","6186","新潤","27.9","0","0%","2014","0%","0","0%","-0.34","0%","0","42%","-7.61","58%","+7.95","0%","0"
"1036","3466","致振","29.55","+0.7","+2.43%","2014","0%","0","12.2%","+4.44","0%","0","2.4%","+0.34","83%","-3.23","2.4%","-1.55"
"1037","2380","虹光","8.22","+0.06","+0.74%","2014","0%","0","13.8%","-0.82","0%","0","6.7%","-0.35","77.9%","+1.17","1.5%","0"
"1038","2305","全友","8.8","+0.05","+0.57%","2015","0%","0","13.8%","+0.05","0%","0","34.7%","0","51.5%","-0.04","0%","0"
"1039","1528","恩德","10.05","-0.05","-0.5%","2014","0%","0","0.7%","-6.89","0%","+0.01","17.8%","+9.66","81.4%","-2.78","0%","0"
"1040","3579","尚志","15.6","+0.15","+0.97%","2015","0%","0","0.2%","-0.14","0%","0","58.9%","-0.04","40.9%","+0.18","0%","0"
"1041","8432","東生華","46.45","+0.8","+1.75%","2014","0%","0","0.5%","+0.1","2.2%","+0.58","62.8%","-0.97","34.5%","+0.28","0%","0"
