"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料年度","政府機構(%)","政府機構增減","僑外投資(%)","僑外投資增減","本國金融機構(%)","本國金融機構增減","本國法人(%)","本國法人增減","本國個人(%)","本國個人增減","庫藏股票(%)","庫藏股票增減"
"1177","1813","寶利徠","29.6","-0.05","-0.17%","2015","0%","0","10.6%","-0.01","0%","0","15.9%","+0.32","73.6%","-0.31","0%","0"
"1178","5251","天鉞電","44.7","-0.05","-0.11%","2014","0%","0","0.2%","+0.16","0%","0","19.2%","-16.1","80.6%","+15.9","0%","0"
"1179","4188","安克","33.8","+2.2","+6.96%","2015","0.1%","","0.1%","","0%","","49.4%","","50.3%","","0%",""
"1180","1439","中和","14.95","-0.05","-0.33%","2014","0%","0","60%","-0.69","0%","0","0.6%","+0.03","39.4%","+0.66","0%","0"
"1181","1423","利華","7.94","-0.01","-0.13%","2014","0%","0","0.9%","+0.09","0%","0","35%","-0.45","64.1%","+0.37","0%","0"
"1182","6158","禾昌","12.1","0","0%","2014","0%","0","0.7%","-0.22","0%","0","6.9%","+3.41","90%","-5.52","2.3%","+2.34"
"1183","1593","祺驊","45","+0.15","+0.33%","2014","0%","0","0.8%","+0.37","1.3%","-0.34","7.7%","-0.97","90.2%","+0.94","0%","0"
"1184","1906","寶隆","9","+0.02","+0.22%","2014","0%","0","0.2%","+0.03","0%","0","62.7%","-0.37","37.2%","+0.34","0%","0"
"1185","3324","雙鴻","19.1","-0.1","-0.52%","2014","0%","0","0.5%","-0.49","0.2%","-6.88","1.1%","+0.34","98.3%","+7.03","0%","0"
"1186","8418","F-必勝","19.65","+0.05","+0.26%","2014","0%","0","81.2%","+1.29","0%","0","2.7%","-2.18","14.5%","+0.88","1.6%","0"
"1187","4939","亞電","13.8","-0.1","-0.72%","2014","0%","0","2.1%","+0.36","3.7%","-2.53","10.7%","-0.48","83.4%","+2.64","0%","0"
"1188","6123","上奇","24.5","+0.25","+1.03%","2014","0%","0","0.2%","+0.08","1.4%","+1.19","34.8%","-3.11","57.5%","+3.18","6.1%","-1.33"
"1189","3664","F-安瑞","17.4","-0.6","-3.33%","2014","0%","0","56.7%","-11.9","3.2%","+3.03","4.2%","-0.46","34.2%","+10.3","1.8%","-0.97"
"1190","3615","安可","19.1","+0.5","+2.69%","2015","0%","0","1.8%","-1.06","0%","-0.18","24.9%","-0.8","73.3%","+2.04","0%","0"
"1191","6101","弘捷","22.8","0","0%","2014","0%","0","0.1%","+0.02","0%","0","63.2%","+4.68","36.7%","-4.69","0%","0"
"1192","1616","億泰","6.93","+0.11","+1.61%","2014","0%","0","0.2%","+0.21","0%","0","16.7%","0","83%","-0.2","0%","0"
"1193","4950","牧東","22.75","+0.35","+1.56%","2014","0%","0","27.3%","-1.31","0%","0","4.4%","+0.52","63.6%","-1.56","4.6%","+2.35"
"1194","3217","優群","15.95","-0.15","-0.93%","2015","0%","0","0.1%","-0.08","0%","-0.79","23.5%","-0.12","76.4%","+0.99","0%","0"
"1195","1781","合世","28.2","+1.15","+4.25%","2014","0%","0","4.4%","+3.12","0%","-0.39","0.2%","-0.59","95.4%","-2.14","0%","0"
"1196","6156","松上","13.3","-0.15","-1.12%","2014","0%","0","4.1%","+0.02","0%","0","47.4%","-1.47","48.5%","+1.45","0%","0"
"1197","8390","金益鼎","17.65","+0.15","+0.86%","2014","0%","0","1%","+0.04","0%","0","17.7%","-1.31","81.3%","+1.26","0%","0"
"1198","9929","秋雨","13.85","+0.85","+6.54%","2014","0%","0","9.7%","+8.95","0%","0","23.5%","+21.8","66.8%","-30.8","0%","0"
"1199","2453","凌群","13.25","-0.15","-1.12%","2014","0%","0","0.2%","-0.14","0.7%","+0.71","11.6%","-2.85","87.5%","+2.29","0%","0"
"1200","3021","鴻名","12.2","+0.1","+0.83%","2015","0%","0","0.3%","+0.18","0%","0","41.2%","+2.21","55.3%","-4.24","3.2%","+1.85"
"1201","4523","永彰","20.6","0","0%","2014","0%","0","23%","-0.02","0%","0","23.8%","-1.43","53.2%","+1.45","0%","0"
"1202","6218","豪勉","20.5","+0.1","+0.49%","2014","0%","0","0.1%","+0.02","2.2%","+0.86","8.7%","-1.22","89%","+0.35","0%","0"
"1203","3027","盛達","13.6","+0.1","+0.74%","2015","0%","0","0.5%","-0.09","0%","+0.01","5.7%","-2.42","93.7%","+3.97","0%","-1.47"
"1204","5493","三聯","31.7","+0.4","+1.28%","2014","0%","0","0%","+0.01","0%","0","21.2%","+0.24","78.8%","-0.24","0%","0"
"1205","6233","旺玖","15.5","+0.05","+0.32%","2014","0%","0","2.2%","+1.07","0%","-0.25","3.3%","-2.07","92.7%","+1.25","1.8%","0"
"1206","4728","雙美","23.95","-0.05","-0.21%","2014","0%","0","0.1%","+0.06","3.6%","+3.04","0.7%","+0.58","95.6%","-3.67","0%","0"
"1207","5259","清惠","18.05","+1.15","+6.8%","2015","0%","0","0.3%","+0.04","1.2%","-0.29","36.4%","-1.74","62.1%","+1.99","0%","0"
"1208","1474","弘裕","10","-0.05","-0.5%","2014","0%","0","2.3%","+0.09","0%","0","27.1%","+0.44","67.7%","+0.3","2.9%","-0.83"
"1209","4433","興采","43.15","+2.8","+6.94%","2014","0%","","1.1%","","3.2%","","15%","","80.7%","","0%",""
"1210","3191","和進","23.7","-0.6","-2.47%","2014","0%","0","0.1%","-0.02","0%","0","4.4%","+1.07","95.5%","-1.05","0%","0"
"1211","8374","羅昇","14.75","+0.1","+0.68%","2014","0%","0","2.4%","+0.78","0%","-0.22","29.7%","-0.03","68%","-0.53","0%","0"
"1212","3550","聯穎","15.2","+0.2","+1.33%","2014","0%","0","3%","+0.1","13%","0","3.6%","-0.33","80.4%","+0.23","0%","0"
"1213","2342","茂矽","3.46","-0.26","-6.99%","2014","0%","0","16.3%","-0.3","0%","0","1.1%","-0.05","82.6%","+0.35","0%","0"
"1214","8084","巨虹","23.8","+0.5","+2.15%","2015","0%","0","2.6%","-0.21","0%","0","15.2%","0","82.2%","+0.21","0%","0"
"1215","6117","迎廣","14.45","-0.1","-0.69%","2014","0%","0","2.8%","-0.03","0%","0","17.1%","+0.22","80%","-0.19","0%","0"
"1216","4706","大恭","16.1","0","0%","2014","0%","0","30.6%","0","3.6%","-0.02","5.4%","0","60.5%","+0.02","0%","0"
"1217","2465","麗臺","11.85","-0.15","-1.25%","2014","0%","0","14.3%","+0.35","0%","+0.01","0.6%","+0.32","85.1%","-0.68","0%","0"
"1218","2302","麗正","7.87","+0.08","+1.03%","2015","0%","0","3.7%","+2.01","0%","0","43.6%","-0.03","52.7%","-1.99","0%","0"
"1219","6126","信音","11.15","+0.35","+3.24%","2015","0%","0","1.2%","+0.25","0%","-1.15","17.2%","+1","81.5%","-0.09","0%","0"
"1220","2038","海光","7.33","-0.07","-0.95%","2014","0%","0","0.1%","-0.01","0%","0","53.4%","-0.19","46.5%","+0.21","0%","0"
"1221","3050","鈺德","7.1","0","0%","2014","0%","0","3.1%","+0.84","0%","0","23.8%","+4.57","67%","-4.7","6.1%","-0.71"
"1222","9935","慶豐富","9","-0.08","-0.88%","2014","0%","0","6.3%","+6.08","0%","-0.5","9.6%","-1.59","84.1%","-3.98","0%","0"
"1223","5310","天剛","28","-1.2","-4.11%","2014","0%","0","0%","0","0%","0","25.9%","-0.33","74.1%","+0.33","0%","0"
"1224","6135","佳營","16.55","-0.25","-1.49%","2014","0%","0","0.4%","+0.12","0%","0","55%","-5.41","44.7%","+5.29","0%","0"
"1225","2444","友旺","14.7","+0.05","+0.34%","2014","0%","0","5.4%","+0.34","0%","0","6.1%","-1.58","88.5%","+1.24","0%","0"
"1226","8940","新天地","18.6","+0.15","+0.81%","2015","0%","0","8.1%","+0.09","0%","0","28%","+2.42","63.9%","-2.52","0%","0"
"1227","8222","寶一","18.4","-0.25","-1.34%","2014","0%","","0.8%","","6.6%","","46.3%","","46.3%","","0%",""
"1228","3325","旭品","16.25","-0.25","-1.52%","2014","0%","0","0.1%","+0.07","0%","0","4.2%","+3.27","95.7%","-3.34","0%","0"
"1229","2440","太空梭","9","-0.18","-1.96%","2014","0%","0","9.6%","-0.04","0.5%","+0.1","20.2%","-0.26","69.7%","+0.2","0%","0"
"1230","1586","和勤","26.8","+0.35","+1.32%","2014","0%","0","0.5%","-0.1","8.6%","+2.69","36.2%","-0.24","51%","-1.71","3.7%","-0.64"
"1231","5902","德記","13.2","-0.25","-1.86%","2014","0%","0","0%","0","0%","0","65.5%","-0.06","34.4%","+0.06","0%","0"
"1232","5302","太欣","7.68","-0.09","-1.16%","2015","0%","0","1.3%","-0.07","0.1%","+0.06","29.1%","-0.04","69.5%","+0.06","0%","0"
"1233","4720","德淵","16.45","+0.35","+2.17%","2015","0%","0","2.5%","-0.01","0%","0","11.1%","+0.01","86.4%","0","0%","0"
"1234","4972","湯石","33.1","+0.3","+0.91%","2014","0%","0","1.3%","-0.74","0%","-2.57","16%","-1.7","82.7%","+5.02","0%","0"
"1235","5324","士開","13.1","+0.2","+1.55%","2014","0%","0","21.2%","-14.7","0%","0","26.6%","-4.11","52.2%","+18.8","0%","0"
"1236","1615","大山","10.9","+0.2","+1.87%","2014","0%","0","0.1%","0","0%","0","40.7%","+0.04","59.2%","-0.03","0%","0"
"1237","8080","奧斯特","19.05","+0.15","+0.79%","2014","0%","0","0.3%","-0.96","0%","0","16.8%","+0.1","82.8%","+0.86","0.1%","0"
"1238","2321","東訊","1.93","-0.02","-1.03%","2014","0%","0","4.3%","-0.03","0%","0","64.8%","0","30.8%","+0.03","0%","0"
"1239","2641","正德","10.15","0","0%","2014","0%","","0%","","0%","","51.9%","","48.1%","","0%",""
"1240","3564","其陽","59.2","+1.1","+1.89%","2014","0%","0","12.9%","+4.86","0%","-0.34","31.3%","-2.97","55.8%","-1.55","0%","0"
"1241","3512","能緹","27.4","+0.4","+1.48%","2014","0%","0","0%","-0.01","0%","0","17.6%","-5.93","82.4%","+5.94","0%","0"
"1242","3016","嘉晶","12.8","+0.3","+2.4%","2014","0%","0","0.6%","+0.09","0%","0","24.9%","0","74.5%","-0.1","0%","0"
"1243","2726","F-雅茗","44","+0.2","+0.46%","2014","0%","","58%","","0.2%","","2.5%","","39.3%","","0%",""
"1244","5209","新鼎","51","0","0%","2014","0%","0","0.1%","+0.07","7.8%","+2.16","51%","-0.69","41.1%","-1.54","0%","0"
"1245","1735","日勝化","11.95","+0.05","+0.42%","2014","0%","0","0.1%","-0.02","0.1%","-0.2","28.6%","0","68.4%","+0.21","2.9%","0"
"1246","3092","鴻碩","18.6","+0.6","+3.33%","2014","0%","0","0.1%","+0.08","8.4%","0","13.6%","-0.23","77.3%","+0.15","0.6%","0"
"1247","6133","金橋","10.05","-0.05","-0.5%","2014","0%","0","1.4%","-0.18","0.1%","-0.01","21.1%","+5.03","69.7%","-3.85","7.6%","-0.98"
"1248","6248","沛波","34.35","0","0%","2014","0%","0","1.3%","0","0%","0","52.7%","+0.65","46%","-0.65","0%","0"
"1249","6236","康呈","36.95","+1.95","+5.57%","2014","0%","0","0.1%","0","0%","0","86.2%","+0.02","13.7%","-0.02","0%","0"
"1250","6127","九豪","13.75","+0.4","+3%","2015","0%","0","0.3%","+0.22","0%","-0.09","2.8%","+1.55","96.9%","-1.68","0%","0"
"1251","5529","志嘉","11.5","+0.5","+4.55%","2014","0%","0","7.5%","+0.37","0%","0","71.4%","+3.78","21.1%","-4.16","0%","0"
"1252","4429","聚紡","34","+2","+6.25%","2014","0%","0","1.9%","-0.45","8.1%","-4.44","17.9%","-1.53","72.1%","+6.42","0%","0"
"1253","8079","誠遠","14.55","0","0%","2014","0%","0","0.4%","+0.36","0%","0","4.9%","-0.99","94.7%","+0.63","0%","0"
"1254","5410","國眾","13","+0.05","+0.39%","2014","0%","0","0.2%","-0.53","0%","0","18.1%","-0.24","81.7%","+0.78","0%","0"
"1255","1258","F-其祥","34.2","-0.4","-1.16%","2014","0%","0","88.6%","+0.11","0%","0","0.2%","+0.15","11.3%","-0.25","0%","0"
"1256","6227","茂綸","15.25","+0.05","+0.33%","2015","0%","0","0%","0","0%","0","67.3%","-0.01","32.7%","+0.01","0%","0"
"1257","6426","統新","35.9","+0.65","+1.84%","2014","0%","","5.9%","","5.2%","","59.3%","","29.7%","","0%",""
"1258","3581","博磊","22.3","+0.05","+0.22%","2015","0%","","6.9%","","0%","","16.3%","","76.8%","","0%",""
"1259","3531","先益","18.85","+0.15","+0.8%","2014","0%","0","20.1%","-0.54","0%","0","13.1%","-0.48","66.8%","+1.02","0%","0"
"1260","8088","品安","19.9","0","0%","2014","0%","0","26.2%","-0.14","0%","0","0.4%","-0.74","73.4%","+0.87","0%","0"
"1261","5701","劍湖山","4.53","+0.03","+0.67%","2015","0%","0","1.2%","-0.58","1.8%","+0.02","24.2%","-0.09","72.8%","+0.65","0%","0"
"1262","6151","晉倫","20.75","0","0%","2014","0%","0","0.6%","+0.51","0%","0","8.4%","+0.46","91%","-0.97","0%","0"
"1263","8049","晶采","8.72","+0.13","+1.51%","2014","0%","0","0.4%","-0.07","0%","0","9.7%","+1.17","89.4%","-0.22","0.5%","-0.87"
"1264","1529","樂士","3.8","+0.19","+5.26%","2014","0%","0","0%","-0.12","0%","0","31.2%","+0.11","68.8%","0","0%","0"
"1265","5475","德宏","5.16","-0.05","-0.96%","2015","0%","0","0.4%","+0.06","0%","0","12.8%","-1.22","86.9%","+2.46","0%","-1.31"
"1266","2424","隴華","37.9","0","0%","2014","0%","0","0.1%","-0.09","0%","0","50.9%","+0.02","49.1%","+0.07","0%","0"
"1267","1617","榮星","7.86","+0.05","+0.64%","2014","0%","0","21.3%","-10","0%","0","41.8%","+6.62","37%","+3.43","0%","0"
"1268","6265","方土昶","9.55","+0.08","+0.84%","2014","0%","0","1%","+0.91","0.9%","-12.5","22.6%","+1.89","72.6%","+9.72","2.9%","0"
"1269","3118","進階","34.75","+0.35","+1.02%","2014","0%","0","0%","-0.05","0%","0","10.2%","-0.12","89.8%","+0.18","0%","0"
"1270","4534","慶騰","14.1","+0.25","+1.81%","2014","0%","0","0.1%","+0.05","1.7%","+1.73","33.4%","-14.8","64.8%","+13.1","0%","0"
"1271","6266","泰詠","13.9","-0.1","-0.71%","2014","0%","0","1.4%","+0.39","0%","0","11.8%","+0.93","86.8%","-1.32","0%","0"
"1272","5460","同協","15.6","-0.15","-0.95%","2015","0%","0","1%","+0.82","0%","0","0.6%","-0.15","98.4%","-0.67","0%","0"
"1273","1235","興泰","20","+0.15","+0.76%","2014","0%","0","0.1%","0","0%","0","42.9%","-9","57%","+9","0%","0"
"1274","3171","新洲","18.95","0","0%","2014","0%","0","0%","-0.54","0%","0","68.2%","-0.76","31.8%","+1.3","0%","0"
"1275","5878","台名","59.5","-0.2","-0.34%","2014","0%","","0%","","0.1%","","46.8%","","53.1%","","0%",""
"1276","3312","弘憶股","11.7","+0.05","+0.43%","2014","0%","0","21.3%","-0.64","0%","+0.01","6.5%","0","72.2%","+0.63","0%","0"
"1277","2063","世鎧","25.7","+0.45","+1.78%","2014","0%","0","0.2%","-0.1","8.8%","+0.99","29.8%","+0.48","61.3%","-1.37","0%","0"
"1278","6211","福登","26.65","-2","-6.98%","2014","0%","0","82.1%","0","0%","0","0.1%","-1.13","17.8%","+1.13","0%","0"
"1279","1213","大飲","21.55","-0.15","-0.69%","2014","0%","0","0.1%","+0.02","0%","0","72%","-0.01","28%","-0.01","0%","0"
"1280","2916","滿心","20.25","-0.05","-0.25%","2015","0%","0","21.2%","0","2.8%","0","11%","-0.58","65%","+0.58","0%","0"
"1281","3402","漢科","15.1","0","0%","2014","0%","0","0.3%","+0.3","0%","0","15.1%","-0.53","84.6%","+4.85","0%","-4.63"
"1282","4127","天良","24.1","-0.2","-0.82%","2014","0%","0","0.1%","+0.06","0%","0","2.7%","0","97.2%","-0.05","0%","0"
"1283","3432","台端","16.55","+0.3","+1.85%","2014","0%","0","0.3%","+0.11","0%","0","23.6%","+0.46","76%","-0.56","0%","0"
"1284","6264","富裔","8","-0.15","-1.84%","2014","0%","0","0%","+0.04","0%","0","28.3%","-0.5","71.6%","+0.46","0%","0"
"1285","3224","三顧","27.5","+0.2","+0.73%","2014","0%","0","0.9%","+0.83","0%","0","8.6%","-2.42","90.5%","+1.59","0%","0"
"1286","2482","連宇","17.6","+0.1","+0.57%","2015","0%","0","0.4%","+0.25","0%","0","29.4%","-0.01","70.2%","-0.24","0%","0"
"1287","3642","駿熠電","34.3","-0.2","-0.58%","2015","0%","0","0.6%","+0.17","2.2%","+2.15","14.4%","+13.8","81.3%","-14.6","1.6%","-1.57"
"1288","1524","耿鼎","6.05","+0.03","+0.5%","2015","0%","0","0.3%","0","0%","0","8.2%","+0.06","91.5%","-0.06","0%","0"
"1289","6199","精威","19","0","0%","2014","0%","0","5.1%","+5.04","0%","0","54.7%","+23.9","40.3%","-28.9","0%","0"
"1290","4415","台原藥","15.2","+0.95","+6.67%","2014","0%","0","0%","-0.02","0%","0","7.5%","-0.33","92.4%","+0.36","0%","0"
"1291","6170","統振","11.5","+0.15","+1.32%","2014","0%","0","5.2%","+0.52","0%","0","6.7%","-0.03","88.1%","+0.57","0%","-1.05"
"1292","5353","台林","11.8","+0.05","+0.43%","2014","0%","0","0%","+0.01","0%","0","18.3%","-2.61","78.3%","+2.49","3.4%","+0.11"
"1293","8071","能率豐","20.55","+0.15","+0.74%","2014","0%","0","11.4%","-2.35","0%","0","37.9%","-1.09","50.7%","+3.44","0%","0"
"1294","8410","森田","29.35","+0.45","+1.56%","2015","0%","0","0.5%","+0.16","0%","0","36.7%","-0.72","62.8%","+0.56","0%","0"
"1295","8354","冠好","16.7","-0.15","-0.89%","2014","0%","0","0.1%","+0.01","0.1%","0","3%","-1.57","96.9%","+1.57","0%","0"
"1296","3438","類比科","27.5","0","0%","2015","0%","0","0%","-0.02","4.6%","+4.57","6.8%","+1.2","88.6%","-5.74","0%","0"
"1297","8937","合騏","14.65","+0.1","+0.69%","2014","0%","0","0.5%","+0.08","0%","0","1.5%","-1.76","97.1%","+1.68","0.9%","0"
"1298","8147","正淩","49.7","-0.4","-0.8%","2015","0%","0","0%","-0.04","0%","-0.59","24.7%","-6.51","75.2%","+7.14","0%","0"
"1299","2719","燦星旅","29.1","-1.9","-6.13%","2014","0%","0","0.6%","+0.59","0%","-0.54","58.8%","+0.33","40.6%","-0.37","0%","0"
"1300","5384","捷元","13.25","-0.1","-0.75%","2014","0%","0","7.2%","0","0%","0","21%","-0.04","71.9%","+0.04","0%","0"
"1301","5328","華容","5.91","+0.05","+0.85%","2014","0%","0","0.1%","+0.08","0%","0","34.1%","+15.3","65.2%","-15.4","0.6%","0"
"1302","6161","捷波","8.7","-0.02","-0.23%","2014","0%","0","0.3%","+0.16","0%","0","20.2%","0","79.5%","-0.16","0%","0"
"1303","6247","淇譽電","17.4","+0.85","+5.14%","2014","0%","0","0%","0","0%","0","49.2%","0","50.8%","0","0%","0"
"1304","3684","榮昌","51.2","+0.1","+0.2%","2014","0%","","0.1%","","0.1%","","39.7%","","60.1%","","0%",""
"1305","3071","協禧","7.16","-0.02","-0.28%","2014","0%","0","2%","0","5.1%","-2.4","42.2%","-9.03","50.7%","+11.4","0%","0"
"1306","2434","統懋","9.39","+0.08","+0.86%","2014","0%","0","1.5%","+0.24","0%","0","6.6%","-1.55","91.9%","+1.31","0%","0"
"1307","5398","力瑋","24.85","-0.4","-1.58%","2015","0%","0","4.1%","+1","0%","-0.14","21.7%","+14.5","74.2%","-15.4","0%","0"
"1308","2358","廷鑫","12.1","-0.05","-0.41%","2015","0%","0","0.3%","+0.02","0%","+0.01","28.2%","-3.17","71.5%","+3.15","0%","0"
"1309","6432","今展科","52.6","+3.4","+6.91%","-","0%","","0%","","0%","","0%","","0%","","0%",""
"1310","1472","三洋紡","14.35","-1.05","-6.82%","2014","0%","0","7%","+0.93","0%","0","9.4%","+0.51","83.6%","-1.44","0%","0"
"1311","4903","聯光通","11.55","+0.1","+0.87%","2014","0%","0","0.3%","-0.18","1%","+0.99","13.7%","-7.62","85.1%","+6.81","0%","0"
"1312","2734","易飛網","39.25","+0.5","+1.29%","2015","0%","0","8.3%","-1.65","0%","-0.88","51.9%","-4.52","39.8%","+7.05","0%","0"
"1313","4303","信立","14.6","-0.1","-0.68%","2015","0%","0","0%","0","0%","0","17.3%","+13","82.7%","-13","0%","0"
"1314","6109","亞元","14.05","+0.3","+2.18%","2014","0%","0","1.8%","+0.33","0%","0","39.3%","-1.65","58.9%","+1.32","0%","0"
"1315","1613","台一","4.48","-0.07","-1.54%","2014","0%","0","6.8%","+0.25","0%","0","2.3%","-0.01","90.9%","-0.23","0%","0"
"1316","3536","誠創","10.5","-0.35","-3.23%","2014","0%","0","0.4%","+0.11","0%","+0.01","45.7%","-0.7","53.9%","+0.59","0%","0"
"1317","1512","瑞利","5.58","0","0%","2014","0%","0","0.5%","+0.21","1.5%","-0.14","8.2%","-17.2","89.8%","+17.1","0%","0"
"1318","6259","百徽","13.9","-0.1","-0.71%","2014","0%","0","48.6%","+6.61","0%","0","2.4%","-0.63","48.9%","-5.98","0%","0"
"1319","8201","無敵","11.3","-0.05","-0.44%","2014","0%","0","4.2%","-0.45","0.2%","+0.09","41.8%","-0.11","53.8%","+0.47","0%","0"
"1320","5211","蒙恬","31.15","+0.9","+2.98%","2014","0%","0","11.6%","+1.39","0%","0","30.1%","-0.17","58.2%","-1.22","0%","0"
"1321","3308","聯德","9.92","+0.28","+2.9%","2014","0%","0","0.1%","-0.01","2.4%","-10.6","23.1%","-0.28","74.4%","+10.9","0%","0"
"1322","6118","建達","10.9","+0.3","+2.83%","2014","0%","0","0.2%","+0.14","0%","0","43%","-1","56.8%","+0.86","0%","0"
"1323","4542","科嶠","38.45","+0.3","+0.79%","2014","0%","","6%","","0%","","34.6%","","59.4%","","0%",""
"1324","3537","堡達","20.3","-0.45","-2.17%","2014","0%","0","0.1%","-0.53","0%","0","6.2%","-0.3","93.7%","+0.83","0%","0"
"1325","5202","力新","16.65","+1.05","+6.73%","2015","0%","0","0.7%","+0.65","0.7%","+0.66","20.8%","+2.1","77.9%","-0.77","0%","-2.64"
"1326","8929","富堡","27.95","-0.15","-0.53%","2014","0%","0","0.3%","+0.23","0%","-0.78","26.3%","-4.68","73.4%","+5.23","0%","0"
"1327","5102","富強","15.15","+0.2","+1.34%","2014","0%","0","0%","0","0%","0","9.6%","+0.72","90.4%","-0.72","0%","0"
"1328","6174","安碁","19.4","-0.15","-0.77%","2014","0%","0","0.2%","0","0%","0","33.1%","0","66.7%","0","0%","0"
"1329","8289","泰藝","12.5","+0.15","+1.21%","2015","0%","0","2%","-0.21","4.7%","+2.81","15.1%","-0.06","77.4%","-3.07","0.8%","+0.52"
"1330","6130","基因","36.2","+0.95","+2.7%","2014","0%","0","1.1%","+0.71","0%","-0.01","18.5%","-0.47","80.4%","-0.23","0%","0"
"1331","2061","風青","15.5","+0.55","+3.68%","2014","0%","0","0%","+0.04","0%","0","17.2%","-4.5","82.6%","+4.29","0.2%","+0.16"
"1332","5255","美桀","25.2","+0.05","+0.2%","2014","0%","","0.9%","","6.9%","","65.4%","","26.8%","","0%",""
"1333","6431","F-光麗","21","+0.1","+0.48%","2014","0%","","41.8%","","12.2%","","7.5%","","38.4%","","0%",""
"1334","1721","三晃","11.45","+0.15","+1.33%","2015","0%","0","0.6%","+0.47","0%","0","17.9%","-1.49","81.5%","+1.02","0%","0"
"1335","3206","志豐","22.95","0","0%","2014","0%","0","1.3%","0","0%","0","19.4%","-0.93","78.2%","+0.96","1.2%","-0.02"
"1336","8935","邦泰","7.92","+0.01","+0.13%","2015","0%","0","1.1%","+0.43","0%","-0.01","10.7%","+1.05","88.2%","-1.47","0%","0"
"1337","3276","宇環","13.6","+0.05","+0.37%","2014","0%","0","0.1%","+0.09","6.6%","0","48%","+0.63","45.3%","-0.72","0%","0"
"1338","5340","建榮","4.84","+0.13","+2.76%","2014","0%","0","0%","-15","0%","-0.87","39%","+14.8","61%","+1.02","0%","0"
"1339","3535","晶彩科","12","-0.05","-0.41%","2014","0%","0","0.2%","-0.07","1.9%","+1.89","1%","-0.43","96.9%","-1.38","0%","0"
"1340","3540","曜越","14.55","+0.5","+3.56%","2014","0%","0","3.2%","-4.32","0%","-0.65","1.4%","+0.1","95.5%","+4.87","0%","0"
"1341","5276","F-達輝","23.75","-0.55","-2.26%","2015","0%","","77%","","0%","","4.4%","","18.6%","","0%",""
"1342","3086","華義","15.8","+0.25","+1.61%","2014","0%","0","0.1%","+0.06","0.1%","-0.01","1.5%","-1.45","98.3%","+1.4","0%","0"
"1343","3652","精聯","19.95","-0.15","-0.75%","2015","0%","0","7.4%","-0.02","2.1%","0","60.9%","-0.17","29.6%","+0.18","0%","0"
"1344","5484","慧友","8.07","+0.27","+3.46%","2015","0%","0","2%","+1.13","0%","0","10.6%","+3.61","87.5%","-2.2","0%","-2.53"
"1345","8040","九暘","10.75","+0.1","+0.94%","2014","0%","0","0.8%","+0.02","0%","0","10.5%","-1.91","84.2%","+1.89","4.5%","0"
"1346","6165","捷泰","9.8","0","0%","2014","0%","0","4.4%","+0.04","0%","0","26.7%","-0.9","68.9%","+0.86","0%","0"
"1347","6270","倍微","12.55","0","0%","2014","0%","0","0.1%","+0.07","0.3%","-0.01","7.8%","+0.02","91.8%","-0.08","0%","0"
"1348","2024","志聯","9.05","-0.03","-0.33%","2015","0%","0","0.7%","+0.56","0%","0","31%","+2.94","68.3%","-3.5","0%","0"
"1349","3011","今皓","8.16","+0.02","+0.25%","2014","0%","0","0.1%","-0.44","0.1%","0","0.2%","+0.16","99.6%","+0.28","0%","0"
"1350","2438","翔耀","12.15","-0.1","-0.82%","2014","0%","0","0%","-0.11","0%","0","0%","-0.02","100%","+0.13","0%","0"
"1351","3297","杭特","24.7","0","0%","2015","0%","0","0%","-0.36","1.9%","-6.63","1.9%","+1.12","96.2%","+5.87","0%","0"
"1352","1324","地球","12.1","-0.05","-0.41%","2014","0%","0","0.1%","-0.39","0%","0","9.7%","-0.01","90.2%","+0.39","0%","0"
"1353","8921","沈氏","19.5","0","0%","2014","0%","0","0.2%","0","0%","0","52.3%","+0.06","47.5%","-0.06","0%","0"
"1354","8913","全銓","16.6","0","0%","2014","0%","0","0%","0","5.5%","0","32.8%","+0.36","61.7%","-0.35","0%","0"
"1355","3085","久大","12.7","+0.35","+2.83%","2014","0%","0","32.3%","-5.78","1.4%","+1.36","0.4%","+0.16","65.9%","+4.25","0%","0"
"1356","6250","宇加","49.55","-0.75","-1.49%","2014","0%","0","0%","0","0%","0","8.8%","0","91.2%","0","0%","0"
"1357","3354","律勝","10.75","+0.05","+0.47%","2014","0%","0","0%","+0.01","7.5%","0","67.6%","+0.01","23.1%","+0.02","1.8%","-0.04"
"1358","5011","久陽","26.75","+0.85","+3.28%","2014","0%","0","0.1%","+0.06","0%","0","72.3%","0","27.7%","-0.06","0%","0"
"1359","9962","有益","9.94","+0.07","+0.71%","2014","0%","0","0%","0","3.6%","+0.5","19%","+0.52","77.3%","-1.02","0%","0"
"1360","3373","熱映","20.7","+0.55","+2.73%","2014","0%","0","0.4%","+0.24","0%","-0.06","33.6%","-3.54","66.1%","+3.36","0%","0"
"1361","8930","青鋼","12.75","+0.2","+1.59%","2014","0%","0","0%","0","0%","+0.01","25.5%","-6.6","73.3%","+10.6","1.2%","-3.98"
"1362","8183","精星","7.68","+0.18","+2.4%","2014","0%","0","1.2%","+0.74","0%","0","31.9%","+2.43","66.9%","-3.17","0%","0"
"1363","1418","東華","6.74","-0.01","-0.15%","2014","0%","0","0.9%","+0.02","0%","0","27.9%","+0.43","71.2%","-0.45","0%","0"
