排名,代號,名稱,持股資料年度,政府機構(%),僑外投資(%),本國金融機構(%),本國法人(%),本國個人(%),庫藏股票(%)
1482,5487,通泰,2014,0%,0.2%,2.3%,23.8%,73.8%,0%
1483,2067,嘉鋼,2015,0%,4.9%,0%,37.1%,58%,0%
1484,8923,時報,2014,0%,3.5%,0%,62.1%,34.4%,0%
1485,5381,合正,2014,0%,0.4%,0%,0.3%,99.3%,0%
1486,6113,亞矽,2014,0%,11.1%,0%,1.7%,80.5%,6.6%
1487,4503,金雨,2014,0%,0.5%,0%,22.9%,76.6%,0%
1488,3067,全域,2014,0%,30%,0%,38.8%,31.2%,0%
1489,1475,本盟,2014,0%,0.1%,0%,81.6%,18.4%,0%
1490,6150,撼訊,2015,0%,0.1%,0%,0%,99.9%,0%
1491,5314,世紀,2014,0%,0.1%,0%,22.4%,77.5%,0%
1492,8932,宏大,2014,0%,0%,0%,39.4%,60.5%,0%
1493,5455,訊利電,2014,0%,0%,0%,12.2%,87.8%,0%
1494,6229,研通,2014,0%,2.8%,0%,8.4%,88.9%,0%
1495,5906,F-台南,2015,0%,57.7%,0%,14.4%,27.9%,0%
1496,8097,常珵,2014,0%,0.6%,0%,12.7%,86.7%,0%
1497,6241,易通展,2014,0%,0%,0%,67.8%,32.2%,0%
1498,3567,逸昌,2015,0%,0%,0%,14.5%,85.2%,0.3%
1499,3188,安茂,2014,0%,0%,0%,22.1%,77.9%,0%
1500,8291,尚茂,2014,0%,0%,21.3%,39.4%,39.4%,0%
1501,3580,友威科,2015,0%,0%,0%,18.3%,81.7%,0%
1502,6103,合邦,2014,0%,1.4%,0%,55.2%,43.4%,0%
1503,6289,華上,2015,0%,0.2%,0%,25.7%,74.1%,0%
1504,4406,新昕纖,2014,0%,0%,0%,9.7%,90.3%,0%
1505,3288,點晶,2014,0%,1.8%,1.2%,1.7%,95.3%,0%
1506,8906,花王,2014,0%,0%,0%,32.1%,67.9%,0%
1507,5201,凱衛,2015,0%,0%,0%,3.4%,92.7%,3.9%
1508,3162,精確,2014,0%,0.7%,0.8%,4.3%,94.1%,0%
1509,4131,晶宇,2014,0%,0%,0%,0.9%,99.1%,0%
1510,6140,訊達,2014,0%,0%,0%,19.6%,80.4%,0%
1511,3431,長天,2014,0%,0.3%,2%,1.1%,96.6%,0%
1512,4154,F-康樂,2015,0%,64.8%,0%,0%,35.2%,0%
1513,8421,旭源,2014,0%,0.1%,0%,40.3%,59.5%,0%
1514,3073,普格,2014,0%,0%,0%,19.5%,80%,0.4%
1515,8034,榮群,2014,0%,0.1%,0%,15.9%,83.3%,0.6%
1516,8423,F-保綠,2014,0%,43.6%,0%,0%,56.4%,0%
1517,3219,倚強,2015,0%,0.2%,0%,41.9%,57.9%,0%
1518,5278,尚凡,2015,0%,47.9%,0%,11.5%,38.1%,2.5%
1519,8093,保銳,2014,0%,0%,0%,30.1%,68.4%,1.6%
1520,3287,廣寰科,2014,0%,0%,0%,50.8%,49.2%,0%
1521,3609,東林,2014,0%,2.8%,1.8%,24.1%,68.2%,3.1%
1522,3207,耀勝,2014,0%,9.7%,0%,3.4%,87%,0%
1523,5516,雙喜,2014,0%,0%,0%,22.3%,77.7%,0%
1524,3434,哲固,2015,0%,0%,0%,11.7%,88.3%,0%
1525,6225,天瀚,2014,0%,12.9%,0%,10.2%,76.9%,0%
1526,4502,源恆,2014,0%,0%,3.5%,43.6%,52.9%,0%
1527,4609,唐鋒,2014,0%,0%,0%,0%,100%,0%
1528,5432,達威,2014,0%,0%,0%,65.7%,34.3%,0%
1529,8082,眾星,2014,0%,2.3%,0%,30%,67.7%,0%
1530,5386,青雲,2014,0%,1.8%,0%,3.5%,94.7%,0%
1531,6198,凌泰,2014,0%,1.2%,0%,8.2%,90.6%,0%
1532,8934,衡平,2014,0%,43.1%,0%,44.1%,12.7%,0%
1533,2496,卓越,2015,0%,14.6%,0%,54.7%,30.8%,0%
1534,8087,華鎂鑫,2015,0%,0%,0%,9.3%,90.7%,0%
