排名,代號,名稱,持股資料年度,政府機構(%),僑外投資(%),本國金融機構(%),本國法人(%),本國個人(%),庫藏股票(%)
451,6184,大豐電,2014,0%,3.7%,0.9%,24.7%,70.7%,0%
452,2010,春源,2014,0%,4.1%,0%,12.6%,83.3%,0%
453,4141,F-龍燈,2014,0%,80.6%,1.9%,2.5%,14.9%,0%
455,9926,新海,2014,0%,0.3%,5.7%,61.1%,32.9%,0%
457,5351,鈺創,2014,0%,8.2%,1.5%,3.7%,84.1%,2.5%
459,3234,光環,2014,0%,0.9%,1.3%,11.5%,86.3%,0%
460,4107,邦特,2015,0%,6.7%,0%,32.5%,60.9%,0%
461,1808,潤隆,2015,0%,0.9%,0%,59.6%,39.4%,0%
462,1708,東鹼,2014,0%,13.4%,0.4%,25.4%,60.8%,0%
469,1521,大億,2014,0%,37.7%,13.4%,36.1%,12.8%,0%
473,6177,達麗,2014,0%,0.6%,0.1%,67.3%,32%,0%
476,5425,台半,2014,0%,11.2%,15.6%,16.9%,56.3%,0%
478,5608,四維航,2014,0%,8.6%,2.6%,31.1%,57.7%,0%
479,2926,誠品生,2014,0%,13.2%,2.8%,60.3%,23.7%,0%
480,3514,昱晶,2014,0%,8.7%,1.1%,14.8%,75.4%,0%
483,2505,國揚,2014,0%,9.3%,2.6%,30.4%,57.7%,0%
486,1339,昭輝,2014,0%,2.8%,0%,65.8%,31.4%,0%
487,5213,亞昕,2015,0%,0.5%,2.5%,68%,28.3%,0.7%
488,1215,卜蜂,2014,0%,34.5%,1.8%,11.2%,52.5%,0%
489,6189,豐藝,2014,0%,11.6%,0.4%,4.5%,83.5%,0%
490,2406,國碩,2015,0%,4.6%,1.3%,2.4%,91.7%,0%
492,4164,承業醫,2015,0%,41.7%,0.8%,0.7%,56.8%,0%
493,1264,德麥,2015,0%,0.3%,0%,7.7%,92%,0%
494,5392,應華,2014,0%,1.6%,0.1%,48.1%,50.1%,0%
496,3519,綠能,2015,0%,3.1%,0%,34.9%,62%,0%
497,3561,昇陽科,2014,0%,4.1%,3.3%,19.7%,72.8%,0%
498,1527,鑽全,2014,0%,7.3%,7.1%,21.1%,64.5%,0%
499,4725,信昌化,2014,0%,2.4%,1.8%,54.3%,41.6%,0%
500,3049,和鑫,2014,0%,5.7%,0%,19.5%,74.8%,0%
502,2614,東森,2014,0%,3.6%,0%,20.9%,75.4%,0%
503,5457,宣德,2014,0%,24.4%,1%,22%,52.7%,0%
504,6281,全國電,2014,0%,11.1%,15.3%,23.9%,49.7%,0%
505,6197,佳必琪,2014,0%,5.3%,0%,8.5%,86.2%,0%
506,3033,威健,2014,0%,4.2%,0.1%,18.9%,76.7%,0%
507,5289,宜鼎,2014,0%,3.6%,0.8%,19.9%,75.7%,0%
509,9911,櫻花,2014,0%,10.2%,10.5%,31%,48.3%,0%
514,3266,昇陽,2015,0%,0.9%,0%,69.5%,29.6%,0%
515,6180,橘子,2014,0%,1.7%,1.9%,27.6%,68.7%,0%
517,3596,智易,2014,0%,10%,6.5%,37.3%,46.2%,0%
519,3041,揚智,2015,0%,7.7%,5.3%,9.4%,77.6%,0%
520,6224,聚鼎,2014,0%,17.9%,2.7%,20.1%,59.2%,0%
521,8083,瑞穎,2014,0%,0.1%,5.7%,24.3%,69.8%,0%
522,4416,三圓,2014,0%,0%,0%,72.7%,27.3%,0%
523,8163,達方,2014,0%,6.3%,3.1%,28.9%,61.6%,0%
524,1522,堤維西,2014,0%,3.6%,0.4%,50.8%,45.2%,0%
525,5227,F-立凱,2014,0%,23.7%,3.6%,22.5%,50.3%,0%
526,2701,萬企,2014,0%,0.7%,0%,75.9%,23.4%,0%
527,1701,中化,2014,0%,6.4%,6.6%,10.3%,76.6%,0%
528,3149,正達,2014,0%,10.4%,2.4%,33.9%,53.3%,0%
530,2436,偉詮電,2014,0%,3.2%,6.2%,10.7%,79.9%,0%
531,2729,瓦城,2014,0%,10.3%,8.1%,36.7%,44.9%,0%
532,4198,環瑞醫,2015,0%,43.1%,5.5%,19.3%,32.1%,0%
533,6145,勁永,2015,0%,3.9%,0%,56.1%,40%,0%
534,8411,F-福貞,2014,0%,62.4%,4.5%,2.8%,30.3%,0%
535,3504,揚明光,2014,0%,3.2%,6.3%,50.4%,40.2%,0%
536,8404,F-百和,2014,0%,56.4%,5.4%,14.5%,23.7%,0%
538,4919,新唐,2014,0%,3.7%,0.6%,67.1%,28.6%,0%
540,1720,生達,2014,0%,2.7%,9.3%,9.6%,78.4%,0%
542,1109,信大,2014,0%,1.4%,0%,10.2%,88.3%,0%
543,1203,味王,2014,0%,3.2%,0.4%,62.1%,34.2%,0%
544,1709,和益,2014,0%,4.7%,0%,46.9%,48.3%,0%
545,2527,宏璟,2014,0%,20.7%,0%,46.9%,32.4%,0%
546,3003,健和興,2014,0%,7.8%,9%,10.1%,72.4%,0.7%
549,3520,振維,2014,0%,0.3%,1.2%,9%,89.5%,0%
550,2390,云辰,2014,0%,5.1%,0%,18.6%,76.3%,0%
552,6104,創惟,2014,0%,6.4%,0.1%,0.7%,92.8%,0%
553,5489,彩富,2015,0%,4.9%,8.7%,21.3%,63.8%,1.2%
555,2506,太設,2014,0%,4.1%,0%,29.3%,66.5%,0%
556,2109,華豐,2014,0%,11.7%,0%,18.4%,69.9%,0%
557,8234,新漢,2014,0%,2.8%,2%,20.9%,74.3%,0%
558,4927,F-泰鼎,2014,0%,24.4%,16.7%,9.8%,49%,0%
559,4104,佳醫,2014,0%,4.3%,0%,37%,58.5%,0.3%
560,4120,友華,2015,0%,4.8%,0.3%,42.9%,52%,0%
562,2601,益航,2014,0%,24.4%,7.9%,13.4%,52.5%,1.8%
563,6105,瑞傳,2014,0%,7.2%,1%,17.8%,74%,0%
564,3265,台星科,2015,0%,56.8%,7.1%,1.3%,34.8%,0%
566,3014,聯陽,2014,0%,7%,1.4%,12.6%,79.1%,0%
567,3498,陽程,2014,0%,5.8%,0%,13.6%,80.7%,0%
568,1315,達新,2015,0%,2.1%,0%,51.3%,46.6%,0%
569,2428,興勤,2014,0%,10.3%,0%,37.1%,52.6%,0%
570,3501,維熹,2014,0%,3.2%,1.2%,44.9%,50.7%,0%
571,5466,泰林,2014,0%,3.9%,0%,48.5%,47.6%,0%
572,4528,江興鍛,2014,0%,2.4%,0%,13.4%,84.2%,0%
573,6016,康和證,2014,0%,4%,0%,27.9%,68.1%,0%
574,1464,得力,2014,0%,0.3%,3.9%,37.9%,57.8%,0%
575,2816,旺旺保,2014,0%,21.4%,0%,48%,30.2%,0.3%
577,8210,勤誠,2014,0%,5.7%,0%,32.6%,61.3%,0.3%
579,1337,F-再生,2014,0%,56%,1.5%,10.5%,32.1%,0%
580,5312,寶島科,2014,0%,17%,5.4%,34.1%,43.4%,0%
581,8427,F-基勝,2014,0%,38.1%,0.6%,0.6%,60.7%,0%
582,4144,F-康聯,2014,0%,53%,3.8%,3.9%,39.3%,0%
583,2464,盟立,2014,0%,12.4%,2.5%,26.1%,59%,0%
584,5538,F-東明,2014,0%,38.7%,0.2%,1.6%,59.5%,0%
585,3130,一零四,2014,0%,38%,1.3%,20.3%,40.3%,0%
586,5533,皇鼎,2015,0%,5.1%,0%,29.6%,65.3%,0%
587,1815,富喬,2014,0%,8.7%,0%,22.9%,68.3%,0%
588,5469,瀚宇博,2014,0%,9.1%,0.1%,42.8%,46.4%,1.6%
590,2397,友通,2014,0%,8.3%,7.5%,10.2%,74%,0%
591,2013,中鋼構,2014,0%,8.2%,13.1%,50.1%,28.6%,0%
593,9946,三發,2014,0%,2.1%,0%,45.6%,52.2%,0%
595,1734,杏輝,2014,0%,1.8%,0%,9.8%,88.3%,0%
597,2540,愛山林,2014,0%,0%,0%,20.1%,79.9%,0%
598,1459,聯發,2014,0%,3.1%,0%,56.2%,40.7%,0%
599,5301,寶得利,2014,0%,0%,0%,31.3%,68.7%,0%
601,2530,華建,2014,0%,3.4%,0%,40.4%,56.2%,0%
602,2421,建準,2014,0%,4.7%,0.3%,41.4%,53.6%,0%
603,2031,新光鋼,2014,0%,6.6%,0%,17.5%,75.9%,0%
604,1416,廣豐,2014,0%,6.1%,0.1%,18.1%,68.4%,7.3%
606,1231,聯華食,2014,0%,1.7%,4.7%,35.6%,57.9%,0%
607,2481,強茂,2014,0%,8.5%,0%,12.1%,78.2%,1.2%
608,8261,富鼎,2014,0%,32.1%,3%,8%,56.8%,0%
610,1256,F-鮮活,2014,0%,8.2%,4.7%,0.1%,87%,0%
616,9934,成霖,2014,0%,20.9%,5.6%,19.8%,53.7%,0%
617,3048,益登,2014,0%,2%,1.1%,5.8%,88.6%,2.5%
618,4119,旭富,2014,0%,0.7%,4.6%,41.3%,53.4%,0%
619,4745,F-合富,2014,0%,19.1%,1.3%,4.7%,74.9%,0%
620,3078,僑威,2015,0%,3.8%,0.1%,30.8%,65.4%,0%
621,2369,菱生,2014,0%,29.1%,14.5%,3.7%,52.7%,0%
622,3083,網龍,2014,0%,1%,0.5%,51.5%,45%,2%
623,5288,F-豐祥,2014,0%,61.1%,0.4%,18.9%,19.6%,0%
625,8437,F-大地,2015,0%,37.5%,0.2%,5.6%,56.7%,0%
627,3685,政翔,2014,0%,5.8%,0.4%,16.9%,76.9%,0%
628,1219,福壽,2014,0%,4.5%,0%,23.7%,71.8%,0%
629,4549,桓達,-,0%,0%,0%,0%,0%,0%
630,8383,千附,2014,0%,2.7%,0%,15.9%,79%,2.3%
631,9944,新麗,2014,0%,7.3%,0%,41.6%,51.1%,0%
632,1225,福懋油,2014,0%,7.5%,0%,38.1%,54.5%,0%
633,5525,順天,2014,0%,1.8%,3.3%,43.3%,51.6%,0%
634,8101,華冠,2015,0%,2.6%,0%,52%,45.3%,0%
635,2363,矽統,2014,0%,7.5%,0%,24.4%,68.1%,0%
636,4506,崇友,2014,0%,0%,0.6%,57.9%,41.5%,0%
637,2476,鉅祥,2015,0%,18.8%,2.7%,28.6%,49.8%,0%
638,6182,合晶,2014,0%,6%,3%,7.7%,82.9%,0.4%
639,2466,冠西電,2014,0%,12.5%,0%,54.5%,32.9%,0%
640,4934,太極,2014,0%,0.4%,1.8%,44.7%,53.1%,0%
641,3388,崇越電,2014,0%,7.2%,0.1%,30.3%,62.5%,0%
642,2852,第一保,2015,0%,5.6%,1.9%,35.8%,56.7%,0%
643,4114,健喬,2014,0%,0.3%,2.2%,10.9%,81.2%,5.4%
644,6021,大慶證,2014,0%,0%,0%,23.4%,76.6%,0%
645,1108,幸福,2014,0%,2%,0%,44.6%,53.4%,0%
646,3583,辛耘,2014,0%,4.6%,5%,23.6%,66.8%,0%
647,2012,春雨,2015,0%,3.9%,0.1%,32.8%,63.2%,0%
649,8433,弘帆,2014,0%,1.8%,0.4%,35.4%,62.4%,0%
651,2233,宇隆,2015,0%,12.7%,16.1%,8%,63.2%,0%
652,3518,柏騰,2015,0%,5.9%,0.4%,5.2%,87.9%,0.7%
653,4161,聿新科,2014,0%,0.3%,0.2%,14.4%,85.2%,0%
654,2495,普安,2014,0%,17.3%,4.1%,5.9%,72.7%,0%
655,4911,德英,2015,0%,0.2%,0.1%,0%,99.7%,0%
656,8112,至上,2015,0%,2.7%,2.7%,1.7%,92.9%,0%
658,4432,銘旺實,2014,0%,0.1%,0%,46%,53.9%,0%
659,3272,東碩,2014,0%,0.6%,1.6%,6.2%,91.6%,0%
660,1902,台紙,2015,0%,4.5%,4.9%,21.4%,69.2%,0%
661,3541,西柏,2015,0%,3%,0%,9.8%,87.1%,0%
662,6022,大眾證,2015,0%,1%,34.9%,6.8%,57.3%,0%
663,3383,新世紀,2014,0%,28%,0.1%,13.2%,53.9%,4.8%
664,6187,萬潤,2014,0%,1.1%,0%,23.9%,75.1%,0%
665,6020,大展證,2014,0%,0%,0%,65.2%,34.8%,0%
666,3311,閎暉,2015,0%,5%,0.2%,33.1%,61.7%,0%
667,1452,宏益,2014,0%,1.5%,0%,15.3%,83.2%,0%
668,4952,凌通,2014,0%,2.2%,4.4%,56%,37.4%,0%
669,3090,日電貿,2014,0%,4.1%,0%,6.4%,89.5%,0%
671,3051,力特,2015,0%,2.7%,0%,2%,95.3%,0%
672,2535,達欣工,2015,0%,9.7%,0%,19.2%,71.1%,0%
673,8446,華研,2014,0%,16.3%,4%,24.5%,55.3%,0%
674,2640,大車隊,2015,0%,7.4%,12.2%,38.8%,41.6%,0%
675,1626,F-艾美,2014,0%,62.8%,1.8%,1.8%,33.6%,0%
676,1218,泰山,2014,0%,3.7%,5.1%,14.2%,77%,0%
677,6196,帆宣,2015,0%,6.2%,0.2%,24.3%,69.3%,0%
678,3598,奕力,2014,0%,2.1%,0.1%,7.6%,89.1%,1.1%
679,8436,大江,2014,0%,7.2%,0%,3.5%,89.3%,0%
680,6124,業強,2014,0%,34.9%,0%,35.1%,30%,0%
681,4126,太醫,2014,0%,56.4%,2%,1.9%,39.7%,0%
682,2478,大毅,2014,0%,3.1%,0%,37.4%,58.1%,1.5%
683,8266,中日新,2013,0%,0.4%,0%,50.7%,48.9%,0%
685,4999,鑫禾,2014,0%,1.5%,5%,18.4%,75.1%,0%
687,3028,增你強,2014,0%,4.4%,4.9%,11.9%,78.7%,0%
688,5511,德昌,2014,0%,1.5%,0%,38.6%,59.8%,0%
690,1519,華城,2014,0%,5.7%,0.1%,9.4%,84.8%,0%
692,3484,崧騰,2014,0%,0.2%,0%,7.8%,91.4%,0.6%
693,1603,華電,2014,0%,2.1%,0%,25.5%,72.3%,0%
694,8916,光隆,2015,0%,2.5%,4.8%,24.2%,68.5%,0%
695,5515,建國,2015,0%,4.9%,0%,26.5%,67.1%,1.4%
696,8105,凌巨,2015,0%,5.5%,0.1%,54.5%,39.9%,0%
697,3057,喬鼎,2014,0%,18.3%,13.8%,9.3%,58.6%,0%
698,5225,F-東科,2015,0%,61.2%,0.4%,4.6%,33.8%,0%
699,2314,台揚,2014,0%,1.8%,0%,20.3%,77.9%,0%
700,1533,車王電,2014,0%,1.6%,0.1%,16.7%,81.6%,0%
702,4944,兆遠,2014,0%,3.2%,0%,50%,46.8%,0%
703,2722,夏都,2014,0%,0%,0%,76.1%,23.9%,0%
704,5604,中連貨,2015,0%,10.9%,0.3%,23.3%,65.6%,0%
705,6139,亞翔,2014,0%,15.4%,0%,31.5%,53%,0%
707,2705,六福,2014,0%,3%,0%,7.1%,89.8%,0%
708,8121,越峰,2014,0%,2.6%,0.4%,58.5%,38.5%,0%
709,3372,典範,2014,0%,5.5%,1.4%,29.9%,63.2%,0%
710,1531,高林股,2015,0%,9.6%,1.7%,22.6%,61.9%,4.2%
711,1611,中電,2014,0%,17.6%,2.1%,31.6%,48.6%,0%
712,3428,光燿科,2014,0%,0%,1.8%,63.6%,34.6%,0%
713,8271,宇瞻,2014,0%,6.8%,6.7%,1.4%,85.1%,0%
714,2426,鼎元,2014,0%,5.2%,0%,1%,92.4%,1.4%
716,3556,禾瑞亞,2014,0%,3.7%,0.9%,13.8%,81.6%,0%
717,4977,F-眾達,2014,0%,63%,2.6%,4.1%,30.3%,0%
718,1786,科妍,2015,0%,0.5%,0%,17.5%,81.2%,0.7%
719,1457,宜進,2015,0%,2.6%,0%,34.5%,62.9%,0%
720,4942,嘉彰,2014,0%,8.5%,2.7%,37.6%,51.2%,0%
721,2066,世德,2014,0%,14.5%,3.7%,0.7%,81.1%,0%
722,4108,懷特,2014,0%,2.3%,4.6%,15.7%,77.4%,0%
723,4168,醣聯,2014,0%,6.1%,0%,17%,77%,0%
724,2388,威盛,2015,0%,3.3%,0%,51.7%,45%,0%
725,4991,F-環宇,2014,0%,36.2%,1.5%,22%,40.3%,0%
726,3013,晟銘電,2014,0%,0.4%,3.3%,10%,84.6%,1.6%
727,8109,博大,2014,0%,1.4%,0.3%,5.9%,91.6%,0.8%
730,1217,愛之味,2014,0%,6.6%,0.3%,19.6%,71.4%,2.1%
731,6284,佳邦,2015,0%,1%,0%,15.5%,78.5%,4.9%
733,3289,宜特,2014,0%,1.1%,14.9%,14%,70.1%,0%
735,1446,宏和,2015,0%,1%,0%,45.2%,53.8%,0%
736,4535,至興,2014,0%,0.2%,8.2%,61.9%,29.8%,0%
737,8431,匯鑽科,2014,0%,0%,11.8%,47.2%,41%,0%
738,8091,翔名,2014,0%,2.1%,1.9%,13.5%,82.6%,0%
740,2115,F-六暉,2014,0%,50.5%,1.5%,0.8%,47.2%,0%
742,8011,台通,2015,0%,0.6%,0%,24.5%,74.9%,0%
744,5521,工信,2014,0%,5%,4.3%,8.9%,81.8%,0%
745,3131,弘塑,2014,0%,2.8%,3.7%,8.5%,84.9%,0%
746,6263,普萊德,2014,0%,0.4%,1.6%,28.7%,69.3%,0%
747,3226,至寶電,2015,0%,0%,0%,59.5%,40.5%,0%
748,3679,新至陞,2015,0%,12%,0%,22%,64.8%,1.2%
749,3686,達能,2014,0%,1.5%,3%,0.8%,94.7%,0%
750,2642,宅配通,2014,0%,7.2%,0%,67.3%,25.5%,0%
751,4153,鈺緯,2014,0%,0.3%,0%,31.2%,68.5%,0%
752,6015,宏遠證,2015,0%,3.8%,6.7%,21.8%,67.7%,0%
753,8072,陞泰,2014,0%,4.1%,2.2%,38.8%,54.9%,0%
755,8931,大汽電,2014,0%,0%,0%,74.5%,25.5%,0%
756,2457,飛宏,2015,0%,6.8%,0.1%,4.8%,88.3%,0%
757,1609,大亞,2014,0%,7.1%,0.3%,8.8%,83.7%,0.1%
759,2020,美亞,2014,0%,2.6%,4.9%,56.9%,35.6%,0%
760,8103,瀚荃,2015,0%,19.5%,3.3%,17.7%,59.4%,0%
761,2419,仲琦,2015,0%,1.8%,0%,2.6%,95.6%,0%
762,8450,霹靂,2014,0%,2.7%,6.7%,45.8%,44.8%,0%
763,6290,良維,2014,0%,14.2%,10%,16.4%,59.4%,0%
764,3305,昇貿,2014,0%,6.3%,0.6%,16.9%,74.8%,1.3%
765,3416,融程電,2014,0%,0.8%,5.6%,11.5%,80.4%,1.7%
766,6298,崴強,2014,0%,2.6%,0%,42.3%,55%,0%
767,1592,F-英瑞,2014,0%,42.3%,0.2%,15.9%,41.6%,0%
768,4930,燦星網,2015,0%,1.8%,0%,46.6%,51.5%,0%
769,3605,宏致,2014,0%,10.5%,6.1%,19.4%,63.2%,0.7%
770,2030,彰源,2014,0%,2.1%,0.4%,11.9%,79.9%,5.8%
771,4965,商店街,2015,0%,6.6%,0.4%,64.2%,28.8%,0%
772,3056,總太,2014,0%,2.9%,0%,26.2%,70.9%,0%
773,1810,和成,2014,0%,3%,0.9%,12.4%,83.7%,0%
774,6111,大宇資,2015,0%,35.9%,0.2%,16.1%,47.8%,0%
775,2009,第一銅,2014,0%,7.6%,0%,38.9%,53.6%,0%
776,1788,杏昌,2015,0%,11.3%,0.9%,21.9%,65.9%,0%
777,3209,全科,2014,0%,0.3%,4.6%,0.4%,94.7%,0%
778,5536,聖暉,2014,0%,7.8%,1.6%,11.3%,79.3%,0%
779,1752,南光,2015,0%,0.4%,0%,34.7%,64%,0.8%
780,1612,宏泰,2014,0%,10.6%,0.1%,19.6%,69.7%,0%
781,2348,海悅,2014,0%,0%,0%,33%,67%,0%
782,4703,揚華,2014,0%,1.4%,6%,8.6%,84%,0%
783,8416,實威,2014,0%,1.1%,0%,38.1%,60.9%,0%
784,4739,康普,2014,0%,6.4%,2.4%,47.3%,43.9%,0%
785,2484,希華,2014,0%,3.4%,0%,2.5%,94.1%,0%
786,6185,幃翔,2015,0%,3.5%,0%,5.1%,91.4%,0%
787,1437,勤益控,2015,0%,5.2%,0%,20.3%,73.4%,1.1%
788,2493,揚博,2014,0%,3.4%,0.8%,2.8%,93%,0%
789,4912,F-聯德,2014,0%,35.3%,0.4%,1.8%,62.4%,0%
790,6168,宏齊,2014,0%,4.1%,1.6%,30.3%,63.4%,0.6%
791,6128,上福,2014,0%,1.4%,0.3%,6.6%,91.7%,0%
792,2911,麗嬰房,2014,0%,10.2%,5.4%,7.5%,77%,0%
793,6203,海韻電,2014,0%,5.6%,0%,3.2%,91.1%,0%
794,3591,艾笛森,2014,0%,10.7%,1.4%,20.7%,65.6%,1.5%
795,4113,聯上,2014,0%,0.5%,0%,34.1%,65.4%,0%
796,6125,廣運,2014,0%,3.6%,0%,4.8%,89.6%,2%
797,1309,台達化,2014,0%,1.9%,0%,47.2%,50.9%,0%
798,1463,強盛,2014,0%,0.7%,1.1%,23.4%,74.8%,0%
799,2414,精技,2014,0%,20.2%,0%,7.4%,72.4%,0%
801,8249,菱光,2014,0%,2.3%,0.4%,30.5%,66.8%,0%
802,3479,安勤,2014,0%,1.4%,1.4%,20.3%,76.8%,0%
803,2365,昆盈,2014,0%,6.5%,0%,11.2%,81.8%,0.4%
804,3052,夆典,2014,0%,1.6%,2.1%,19.9%,76.4%,0%
805,6411,晶焱,2014,0%,21.8%,10.9%,29.3%,37.9%,0%
806,6024,群益期,2014,0%,0.2%,0.4%,63.2%,36.3%,0%
807,6195,詩肯,2014,0%,47.4%,0%,8.9%,43.6%,0%
810,3624,光頡,2014,0%,4.4%,2.4%,40.4%,52.8%,0%
811,2235,謚源,-,0%,0%,0%,0%,0%,0%
812,2906,高林,2014,0%,3.2%,0.9%,39%,56.9%,0%
813,6509,聚和,2014,0%,5.2%,1.9%,6.6%,85.7%,0.6%
814,2486,一詮,2015,0%,4.3%,2%,3.1%,90.6%,0%
815,4702,中美實,2014,0%,64.4%,0.9%,15.3%,19.5%,0%
816,2359,所羅門,2014,0%,2.8%,0%,6.1%,91.1%,0%
817,6136,富爾特,2014,0%,4.8%,8.2%,4.3%,82.7%,0%
818,4971,F-IET,2014,0%,35.9%,1.7%,4.7%,57.7%,0%
819,5706,鳳凰,2014,0%,1.7%,6.6%,4%,87.7%,0%
820,6212,理銘,2014,0%,29.5%,0%,11.3%,59.3%,0%
821,6209,今國光,2014,0%,3.5%,6.6%,0.3%,89.5%,0%
822,3628,盈正,2014,0%,0.3%,0%,33.8%,65.8%,0%
823,3213,茂訊,2014,0%,3.5%,0%,9.6%,86.9%,0%
824,5480,統盟,2014,0%,4.8%,0%,52.5%,42.7%,0%
825,5474,聰泰,2015,0%,0.8%,0.1%,20.7%,78.4%,0%
826,6251,定穎,2014,0%,9.3%,4.1%,7.8%,78.7%,0%
827,8938,明安,2014,0%,4%,3.1%,26.5%,66.3%,0%
828,5285,界霖,2015,0%,0.3%,0.5%,18.4%,80.7%,0%
829,2636,台驊,2014,0%,12.7%,4.7%,18.8%,62.7%,1.2%
830,4417,金洲,2014,0%,0.5%,0%,18.9%,80.3%,0.3%
831,5272,笙科,2014,0%,0.5%,3.8%,18%,77.7%,0%
832,5514,三豐,2014,0%,0%,0%,58.2%,41.8%,0%
833,2022,聚亨,2014,0%,3.2%,0%,20.6%,76.2%,0%
834,3229,晟鈦,2014,0%,0.7%,0%,45%,54.4%,0%
835,5519,隆大,2014,0%,0.3%,0%,46.2%,53.5%,0%
836,2467,志聖,2014,0%,8.4%,0%,29.1%,62.5%,0%
837,1432,大魯閣,2015,0%,0.3%,0%,51.9%,45.7%,2.1%
838,1417,嘉裕,2014,0%,3.7%,5.2%,18.1%,73.1%,0%
839,1323,永裕,2014,0%,2%,4.2%,15.1%,78.6%,0%
840,4933,友輝,2014,0%,2.3%,0.9%,54.3%,41.1%,1.5%
841,3573,穎台,2014,0%,20.4%,1.9%,13.3%,64.5%,0%
842,5309,系統電,2014,0%,0.3%,2.5%,3.2%,94%,0%
843,3661,F-世芯,2014,0%,77.4%,0%,1.7%,20.9%,0%
844,3701,大眾控,2014,0%,3.7%,20%,60.4%,15.9%,0%
845,2405,浩鑫,2015,0%,9%,0.3%,4.4%,86.2%,0%
846,5607,遠雄港,2014,0%,2.5%,0.3%,50.1%,47.1%,0%
847,3299,帛漢,2014,0%,0.8%,1.3%,27.8%,70.1%,0%
848,6138,茂達,2014,0%,2.2%,1.5%,7.4%,86.9%,2%
849,1467,南緯,2015,0%,22.3%,0%,3%,74.7%,0%
850,2007,燁興,2015,0%,0.3%,0%,76.2%,23.6%,0%
851,8925,偉盟,2014,0%,4.2%,4.3%,1.9%,89.6%,0%
852,1817,凱撒衛,2014,0%,1%,6.8%,2.4%,89.8%,0%
854,3031,佰鴻,2014,0%,5.6%,0.2%,26%,68.2%,0%
855,1436,華友聯,2014,0%,0.4%,0%,54.8%,44.9%,0%
856,2008,高興昌,2015,0%,5.9%,0%,31.8%,62.3%,0%
857,6108,競國,2014,0%,5%,0.1%,0.4%,94.6%,0%
858,4129,聯合,2015,0%,3.2%,1.3%,6.2%,89.2%,0%
859,4974,亞泰,2014,0%,0.9%,0.8%,47.8%,50.6%,0%
860,8287,英格爾,2014,0%,7.3%,0.1%,7.8%,82.2%,2.6%
861,1595,川寶,2015,0%,1.5%,1.4%,29.8%,67.3%,0%
862,2616,山隆,2014,0%,0.9%,5.5%,36.9%,56.7%,0%
863,4205,中華食,2014,0%,0%,0%,7.3%,92.7%,0%
864,3068,美磊,2014,0%,2.5%,0.8%,40.2%,54.7%,1.6%
865,1236,宏亞,2015,0%,0.2%,3.9%,18%,77.9%,0%
866,4909,新復興,2014,0%,2.2%,5.4%,23.2%,69.2%,0%
867,4737,華廣,2015,0%,10.9%,0%,26.4%,62.6%,0%
868,9906,欣巴巴,2014,0%,17.4%,0%,55.2%,27.4%,0%
869,3167,大量,2014,0%,0.4%,0.5%,7.8%,91.3%,0%
870,9919,康那香,2015,0%,4.9%,0.8%,26.9%,67.4%,0%
871,2732,六角,2015,0%,25.2%,1.9%,42.5%,30.3%,0%
872,6219,富旺,2015,0%,0%,0%,78.4%,21.6%,0%
873,2924,F-東凌,2014,0%,39.1%,6.9%,0.3%,53.6%,0%
874,3559,全智科,2014,0%,2.4%,14.9%,20.2%,62.5%,0%
875,8077,冠華,2014,0%,1.1%,0%,33.8%,65%,0%
876,3040,遠見,2014,0%,16.7%,0%,14.6%,68.8%,0%
877,1725,元禎,2015,0%,0.2%,0%,93.9%,5.5%,0.4%
878,4722,國精化,2015,0%,4.8%,1.3%,16.6%,77.4%,0%
879,2423,固緯,2014,0%,1.3%,0%,7.1%,91.5%,0.1%
881,8240,華宏,2014,0%,6.8%,1.5%,43.8%,47.9%,0%
882,3551,世禾,2014,0%,6.5%,25.4%,14.8%,53.3%,0%
883,1713,國化,2014,0%,2.2%,0%,39%,58.9%,0%
884,2537,聯上發,2014,0%,0.3%,0%,32.5%,67.3%,0%
885,3680,家登,2014,0%,7.8%,1.3%,9.5%,81.4%,0%
886,3259,鑫創,2014,0%,26%,1.2%,11.5%,61.2%,0%
887,1762,中化生,2014,0%,1.2%,0%,43.5%,55.3%,0%
888,6238,勝麗,2015,0%,0.2%,0%,50.3%,49.5%,0%
889,3055,蔚華科,2014,0%,3.2%,0%,16.5%,78.6%,1.6%
890,3631,晟楠,2014,0%,37.5%,2.7%,29.4%,30.3%,0%
891,6508,惠光,2014,0%,0.1%,0.6%,34.8%,64.5%,0%
894,2338,光罩,2014,0%,7.6%,0%,28.7%,63.7%,0%
895,6131,悠克,2014,0%,3.4%,0%,15.7%,80.9%,0%
896,3144,新揚科,2014,0%,53%,0%,15.3%,31.7%,0%
898,3630,新鉅科,2014,0%,6.4%,2.5%,23.9%,67%,0.3%
899,4139,F-馬光,2015,0%,33.4%,0%,1.3%,65.2%,0%
900,5905,南仁湖,2014,0%,3.8%,0.1%,1.4%,94.4%,0.3%
901,1506,正道,2014,0%,0.5%,5.9%,30.7%,63%,0%
902,8403,盛弘,2015,0%,0.4%,4.4%,46%,46.7%,2.5%
904,2543,皇昌,2014,0%,0.1%,0%,45.1%,54.8%,0%
905,2461,光群雷,2014,0%,7.2%,1.4%,1.3%,85.3%,4.7%
906,2712,遠雄來,2014,0%,0.5%,0%,61.2%,38.3%,0%
907,5230,雷笛克,2014,0%,34.9%,2.6%,19.4%,43.1%,0%
