
"105年03月 31日  個股日本益比、殖利率及股價淨值比 (依證券代碼排序查詢)"
"證券代號","證券名稱","本益比","殖利率(%)","股價淨值比"
"2534","宏盛","22.72","3.24","1.02"
"2535","達欣工","9.97","6.31","0.73"
"2536","宏普","6.03","7.52","0.78"
"2537","聯上發","4.16","9.57","0.69"
"2538","基泰","4.15","7.54","0.82"
"2539","櫻花建","8.72","10.13","1.84"
"2540","愛山林","21.54","0.00","1.22"
"2542","興富發","6.60","12.77","1.53"
"2543","皇昌","18.14","3.37","0.84"
"2545","皇翔","98.93","4.33","0.91"
"2546","根基","12.05","6.54","0.80"
"2547","日勝生","-","9.48","0.67"
"2548","華固","6.20","9.24","1.17"
"2597","潤弘","8.89","10.07","1.44"
"2601","益航","-","2.82","0.41"
"2603","長榮","-","1.67","0.72"
"2605","新興","11.96","5.04","0.66"
"2606","裕民","26.02","3.92","0.78"
"2607","榮運","17.09","2.59","0.67"
"2608","大榮","15.15","3.61","2.44"
"2609","陽明","-","0.00","0.83"
"2610","華航","10.95","4.00","1.08"
"2611","志信","38.35","3.91","0.54"
"2612","中航","18.62","5.37","0.56"
"2613","中櫃","48.70","1.22","0.42"
"2614","東森","-","0.00","0.91"
"2615","萬海","10.42","6.47","1.15"
"2616","山隆","12.92","6.11","1.01"
"2617","台航","60.00","4.71","0.57"
"2618","長榮航","10.78","4.44","1.42"
"2634","漢翔","18.92","3.22","3.33"
"2637","F-慧洋","8.44","6.79","0.64"
"2642","宅配通","25.00","2.26","1.56"
"2701","萬企","17.53","4.81","0.86"
"2702","華園","26.58","3.26","1.24"
"2704","國賓","23.33","2.63","1.05"
"2705","六福","28.71","3.18","0.67"
"2706","第一店","17.11","4.83","1.01"
"2707","晶華","21.65","4.57","6.53"
"2712","遠雄來","30.83","3.28","2.08"
"2722","夏都","26.74","2.64","2.72"
"2723","F-美食","31.85","1.17","4.75"
"2727","王品","310.00","0.72","3.21"
"2731","雄獅","16.95","4.22","3.46"
"2801","彰銀","11.96","5.45","1.08"
"2809","京城銀","6.99","2.26","0.90"
"2812","台中銀","8.66","7.10","0.75"
"2816","旺旺保","11.63","0.70","0.87"
"2820","華票","10.25","6.75","0.74"
"2823","中壽","9.00","4.04","1.00"
"2832","台產","7.13","4.20","1.01"
"2834","臺企銀","9.48","7.03","0.72"
"2836","高雄銀","11.66","6.21","0.58"
"2838","聯邦銀","7.62","4.38","0.68"
"2841","台開","3.91","10.26","0.46"
"2845","遠東銀","7.39","6.30","0.74"
"2849","安泰銀","7.40","4.14","0.80"
"2850","新產","5.96","6.60","0.89"
"2851","中再保","10.92","4.71","0.89"
"2852","第一保","17.54","3.33","0.70"
"2855","統一證","18.77","3.72","0.79"
"2856","元富證","9.14","7.58","0.65"
"2867","三商壽","8.93","8.23","0.93"
"2880","華南金","11.27","7.75","1.04"
"2881","富邦金","6.60","7.32","1.14"
"2882","國泰金","8.42","5.19","1.06"
"2883","開發金","14.83","5.81","0.77"
"2884","玉山金","11.18","7.94","1.18"
"2885","元大金","11.39","3.13","0.68"
"2886","兆豐金","10.60","6.55","1.06"
"2887","台新金","8.22","0.88","0.87"
"2888","新光金","11.14","7.89","0.60"
"2889","國票金","13.74","6.52","0.70"
"2890","永豐金","9.30","9.35","0.77"
"2891","中信金","8.67","9.53","1.10"
"2892","第一金","11.36","8.49","0.97"
"2901","欣欣","47.91","1.86","2.22"
"2903","遠百","13.85","5.92","0.81"
"2904","匯僑","12.50","7.14","2.00"
"2905","三商","9.02","2.89","1.15"
"2906","高林","23.80","4.20","0.81"
"2908","特力","15.11","4.80","1.36"
"2910","統領","51.09","2.98","1.87"
"2911","麗嬰房","-","0.00","1.04"
"2912","統一超","29.61","3.07","8.99"
"2913","農林","15.00","3.37","0.71"
"2915","潤泰全","6.24","3.02","2.36"
"2923","F-鼎固","10.80","1.67","0.69"
"2929","F-淘帝","8.96","5.04","2.12"
"3002","歐格","24.63","3.47","0.77"
"3003","健和興","16.91","2.43","1.57"
"3004","豐達科","14.05","2.83","2.53"
"3005","神基","10.27","8.85","0.95"
